sample_id,dataset,level,issue_type,severity,message,image_path,transcription,suggested_action
school_notebooks_train_0000001,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000001.png,"прил.,",manual_review
school_notebooks_train_0000002,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000002.png,"п.,",manual_review
school_notebooks_train_0000003,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000003.png,П.,manual_review
school_notebooks_train_0000004,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000004.png,в,manual_review
school_notebooks_train_0000004,school_notebooks,word,single_character_or_mark,warning,single_character_or_mark,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000004.png,в,manual_review
school_notebooks_train_0000005,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000005.png,"ч.,",manual_review
school_notebooks_train_0000006,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000006.png,ж.,manual_review
school_notebooks_train_0000007,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000007.png,ед.,manual_review
school_notebooks_train_0000008,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000008.png,в,manual_review
school_notebooks_train_0000008,school_notebooks,word,single_character_or_mark,warning,single_character_or_mark,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000008.png,в,manual_review
school_notebooks_train_0000009,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000009.png,"р.,",manual_review
school_notebooks_train_0000010,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000010.png,сообщали,manual_review
school_notebooks_train_0000011,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000011.png,ж.,manual_review
school_notebooks_train_0000012,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000012.png,в,manual_review
school_notebooks_train_0000012,school_notebooks,word,single_character_or_mark,warning,single_character_or_mark,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000012.png,в,manual_review
school_notebooks_train_0000013,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000013.png,"чистый,",manual_review
school_notebooks_train_0000014,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000014.png,н.,manual_review
school_notebooks_train_0000015,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000015.png,ф. -,manual_review
school_notebooks_train_0000016,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000016.png,определение.,manual_review
school_notebooks_train_0000017,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000017.png,Пурпурные.,manual_review
school_notebooks_train_0000018,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000018.png,Упражнение,manual_review
school_notebooks_train_0000019,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000019.png,503.,manual_review
school_notebooks_train_0000020,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000020.png,Небо,manual_review
school_notebooks_train_0000021,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000021.png,голубело..,manual_review
school_notebooks_train_0000022,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000022.png,Молодёжь,manual_review
school_notebooks_train_0000023,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000023.png,пела.,manual_review
school_notebooks_train_0000024,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000024.png,Картофель,manual_review
school_notebooks_train_0000025,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000025.png,Яблоко,manual_review
school_notebooks_train_0000026,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000026.png,невидимки,manual_review
school_notebooks_train_0000027,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000027.png,зрело.,manual_review
school_notebooks_train_0000028,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000028.png,(на,manual_review
school_notebooks_train_0000029,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000029.png,зазеленел.,manual_review
school_notebooks_train_0000030,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000030.png,Солнце,manual_review
school_notebooks_train_0000031,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000031.png,садилось.,manual_review
school_notebooks_train_0000032,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000032.png,Полотенце,manual_review
school_notebooks_train_0000033,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000033.png,висело.,manual_review
school_notebooks_train_0000034,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000034.png,Рояль,manual_review
school_notebooks_train_0000035,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000035.png,стоял.,manual_review
school_notebooks_train_0000036,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000036.png,Двенадцатое,manual_review
school_notebooks_train_0000037,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000037.png,апреля.,manual_review
school_notebooks_train_0000038,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000038.png,работа.,manual_review
school_notebooks_train_0000039,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000039.png,Классная,manual_review
school_notebooks_train_0000040,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000040.png,Имена,manual_review
school_notebooks_train_0000041,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000041.png,существительные,manual_review
school_notebooks_train_0000042,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000042.png,только,manual_review
school_notebooks_train_0000043,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000043.png,ед.,manual_review
school_notebooks_train_0000044,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000044.png,ч.,manual_review
school_notebooks_train_0000045,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000045.png,Окно -,manual_review
school_notebooks_train_0000046,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000046.png,р.,manual_review
school_notebooks_train_0000047,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000047.png,р.,manual_review
school_notebooks_train_0000048,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000048.png,м.,manual_review
school_notebooks_train_0000049,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000049.png,р.,manual_review
school_notebooks_train_0000050,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000050.png,ср.,manual_review
school_notebooks_train_0000051,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000051.png,р.,manual_review
school_notebooks_train_0000052,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000052.png,ср.,manual_review
school_notebooks_train_0000053,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000053.png,р.,manual_review
school_notebooks_train_0000054,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000054.png,ср.,manual_review
school_notebooks_train_0000055,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000055.png,р.,manual_review
school_notebooks_train_0000056,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000056.png,дерево -,manual_review
school_notebooks_train_0000057,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000057.png,товарищам,manual_review
school_notebooks_train_0000058,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000058.png,своим,manual_review
school_notebooks_train_0000059,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000059.png,стол -,manual_review
school_notebooks_train_0000060,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000060.png,стул -,manual_review
school_notebooks_train_0000061,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000061.png,"какой?),",manual_review
school_notebooks_train_0000062,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000062.png,(бумаге) -,manual_review
school_notebooks_train_0000063,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000063.png,чистой,manual_review
school_notebooks_train_0000064,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000064.png,На,manual_review
school_notebooks_train_0000065,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000065.png,ч.).,manual_review
school_notebooks_train_0000066,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000066.png,(мн.,manual_review
school_notebooks_train_0000067,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000067.png,буквы,manual_review
school_notebooks_train_0000068,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000068.png,ч.);,manual_review
school_notebooks_train_0000069,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000069.png,между,manual_review
school_notebooks_train_0000070,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000070.png,строк,manual_review
school_notebooks_train_0000071,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000071.png,(ед.,manual_review
school_notebooks_train_0000072,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000072.png,бумаге,manual_review
school_notebooks_train_0000073,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000073.png,на,manual_review
school_notebooks_train_0000074,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000074.png,ч.);,manual_review
school_notebooks_train_0000075,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000075.png,(ед.,manual_review
school_notebooks_train_0000076,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000076.png,раствором,manual_review
school_notebooks_train_0000077,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000077.png,ч.);,manual_review
school_notebooks_train_0000078,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000078.png,раз,manual_review
school_notebooks_train_0000079,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000079.png,(ед.,manual_review
school_notebooks_train_0000080,school_notebooks,phrase,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000080.png,чернила -,manual_review
school_notebooks_train_0000081,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000081.png,самого,manual_review
school_notebooks_train_0000082,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000082.png,выручали,manual_review
school_notebooks_train_0000083,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000083.png,соком,manual_review
school_notebooks_train_0000084,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000084.png,ч.);,manual_review
school_notebooks_train_0000085,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000085.png,(ед.,manual_review
school_notebooks_train_0000086,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000086.png,утюгом,manual_review
school_notebooks_train_0000087,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000087.png,ч.);,manual_review
school_notebooks_train_0000088,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000088.png,(ед.,manual_review
school_notebooks_train_0000089,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000089.png,бумаги,manual_review
school_notebooks_train_0000090,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000090.png,ч.);,manual_review
school_notebooks_train_0000091,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000091.png,(ед.,manual_review
school_notebooks_train_0000092,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000092.png,лист,manual_review
school_notebooks_train_0000093,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000093.png,ч.);,manual_review
school_notebooks_train_0000094,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000094.png,(мн.,manual_review
school_notebooks_train_0000095,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000095.png,следов,manual_review
school_notebooks_train_0000096,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000096.png,ч.);,manual_review
school_notebooks_train_0000097,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000097.png,(мн.,manual_review
school_notebooks_train_0000098,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000098.png,чернила,manual_review
school_notebooks_train_0000099,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000099.png,ч.);,manual_review
school_notebooks_train_0000100,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000100.png,(мн.,manual_review
school_notebooks_train_0000101,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000101.png,Чернил,manual_review
school_notebooks_train_0000102,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000102.png,известия.,manual_review
school_notebooks_train_0000103,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000103.png,важные,manual_review
school_notebooks_train_0000104,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000104.png,"разведчиков,",manual_review
school_notebooks_train_0000105,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000105.png,обычного,manual_review
school_notebooks_train_0000106,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000106.png,которые,manual_review
school_notebooks_train_0000107,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000107.png,письма,manual_review
school_notebooks_train_0000108,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000108.png,воззвание,manual_review
school_notebooks_train_0000109,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000109.png,предположение,manual_review
school_notebooks_train_0000110,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000110.png,серебро,manual_review
school_notebooks_train_0000111,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000111.png,ворота,manual_review
school_notebooks_train_0000112,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000112.png,тьма,manual_review
school_notebooks_train_0000113,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000113.png,шёпот,manual_review
school_notebooks_train_0000114,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000114.png,ч.,manual_review
school_notebooks_train_0000115,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000115.png,ед.,manual_review
school_notebooks_train_0000116,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000116.png,Только,manual_review
school_notebooks_train_0000117,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000117.png,517.,manual_review
school_notebooks_train_0000118,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000118.png,Упражнение,manual_review
school_notebooks_train_0000119,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000119.png,удивление.,manual_review
school_notebooks_train_0000120,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000120.png,"выполнение,",manual_review
school_notebooks_train_0000121,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000121.png,"бегство,",manual_review
school_notebooks_train_0000122,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000122.png,"Темнота,",manual_review
school_notebooks_train_0000123,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000123.png,3),manual_review
school_notebooks_train_0000124,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000124.png,апреля.,manual_review
school_notebooks_train_0000125,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000125.png,работа.,manual_review
school_notebooks_train_0000126,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000126.png,512.,manual_review
school_notebooks_train_0000127,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000127.png,Упражнение,manual_review
school_notebooks_train_0000128,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000128.png,Домашняя,manual_review
school_notebooks_train_0000129,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000129.png,Не,manual_review
school_notebooks_train_0000130,school_notebooks,word,polygon_masked_crop,warning,polygon_masked_crop,data/processed/school_notebooks_pilot/images/train/school_notebooks_train_0000130.png,бензин.,manual_review
