model,seed,domain,n,cer,wer,exact,summary_path
baseline,42,cyrillic_handwriting,1563.0,0.19337058955001654,0.6717317125186606,0.2827895073576456,outputs/htr_graph_v1/eval_tri10k_image_only_v1_test_final/summary.json
baseline,42,hkr_words,2000.0,0.09517597620173109,0.4005,0.499,outputs/htr_graph_v1/eval_tri10k_image_only_v1_test_final/summary.json
baseline,42,school_notebooks_clean,2000.0,0.15826159534909523,0.501,0.5065000000000001,outputs/htr_graph_v1/eval_tri10k_image_only_v1_test_final/summary.json
baseline,42,school,2000.0,0.15826159534909523,0.501,0.5065000000000001,outputs/htr_graph_v1/eval_tri10k_image_only_v1_test_final/summary.json
plus_10k,42,cyrillic_handwriting,1563.0,0.18580688289497263,0.6629558541266795,0.2891874600127959,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json
plus_10k,42,hkr_words,2000.0,0.09171769317284048,0.37983333333333336,0.5245,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json
plus_10k,42,school_notebooks_clean,2000.0,0.1389287726162724,0.47175,0.539,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json
plus_10k,42,school,2000.0,0.1389287726162724,0.47175,0.539,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_test_final/summary.json
baseline,43,cyrillic_handwriting,1563.0,0.1991065790484034,0.6599168266154831,0.28150991682661547,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json
baseline,43,hkr_words,2000.0,0.09624809777640685,0.4060416666666667,0.49549999999999994,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json
baseline,43,school_notebooks_clean,2000.0,0.1624003427128424,0.51125,0.4965,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json
baseline,43,school,2000.0,0.1624003427128424,0.51125,0.4965,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed43_test_final/summary.json
plus_10k,43,cyrillic_handwriting,1563.0,0.19131471070206715,0.6599701428876092,0.28982725527831094,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json
plus_10k,43,hkr_words,2000.0,0.09655659117499311,0.4092916666666667,0.4895,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json
plus_10k,43,school_notebooks_clean,2000.0,0.13540185508935482,0.447,0.56,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json
plus_10k,43,school,2000.0,0.13540185508935482,0.447,0.56,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed43_test_final/summary.json
baseline,44,cyrillic_handwriting,1563.0,0.21847139987571573,0.7225634463638303,0.23480486244401796,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json
baseline,44,hkr_words,2000.0,0.11182405507504213,0.45683333333333315,0.436,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json
baseline,44,school_notebooks_clean,2000.0,0.17059389707514688,0.5275,0.482,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json
baseline,44,school,2000.0,0.17059389707514688,0.5275,0.482,outputs/htr_graph_v1/eval_tri10k_image_only_v1_seed44_test_final/summary.json
plus_10k,44,cyrillic_handwriting,1563.0,0.19131551189535356,0.6695564086159096,0.2821497120921305,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json
plus_10k,44,hkr_words,2000.0,0.08768324445592274,0.366625,0.5345,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json
plus_10k,44,school_notebooks_clean,2000.0,0.13598266317016303,0.44875,0.56,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json
plus_10k,44,school,2000.0,0.13598266317016303,0.44875,0.56,outputs/htr_graph_v1/eval_tri10k_image_only_plus_school_lines_10k_context_v1_seed44_test_final/summary.json
