experiment_id,result_group,model,dataset,seed,summary_path,checkpoint_path,config_path,predictions_path,n,cer,wer,exact,pred_len_mean,blank_logit_penalty,checkpoint_epoch,checkpoint_val_cer,grouped_domains,included_in_thesis,notes,cyrillic_handwriting_cer,cyrillic_handwriting_wer,cyrillic_handwriting_exact,hkr_words_cer,hkr_words_wer,hkr_words_exact,school_notebooks_clean_cer,school_notebooks_clean_wer,school_notebooks_clean_exact
border_suppression_v1,diagnostic,border_suppression_v1,school_notebooks_clean,,outputs/h2_gold_audit_v1/border_suppression_v1/summary.json,,,,23,,,,,,,,,needs_decision,,,,,,,,,,
candidates,diagnostic,candidates,,,outputs/h2_gold_audit_v1/candidates/summary.json,,,,,,,,,,,,,needs_decision,,,,,,,,,,
contact_sheet,diagnostic,contact_sheet,,,outputs/h2_gold_audit_v1/contact_sheet/summary.json,,,,100,,,,,,,,,needs_decision,,,,,,,,,,
school_dark_padding_repair_v1,diagnostic,school_dark_padding_repair_v1,school_notebooks_clean,,outputs/h2_gold_audit_v1/school_dark_padding_repair_v1/summary.json,,,,,,,,,,,,,needs_decision,,,,,,,,,,
school_foreground_v3,diagnostic,school_foreground_v3,school_notebooks_clean,,outputs/h2_gold_audit_v1/school_foreground_v3/summary.json,,,,23,,,,,,,,,needs_decision,,,,,,,,,,
image_only_clean,primary,image_only_clean,,,outputs/h3_graph_quality_v1/image_only_clean/summary.json,,,,,,,,,,,,,needs_decision,,,,,,,,,,
image_only_clean_v2,primary,image_only_clean_v2,,,outputs/h3_graph_quality_v1/image_only_clean_v2/summary.json,,,,,,,,,,,,,needs_decision,,,,,,,,,,
eval_full_cyrillic_v1_test_final,primary,eval_full_cyrillic_v1_test_final,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_test_final/summary.json,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_test_final/predictions.jsonl,1563,0.14053150582338028,0.5470036255065046,0.39859245041586694,9.431222008957134,-0.4,63,0.0810908965262766,"cyrillic_handwriting|phrase|None,cyrillic_handwriting|word|None",needs_decision,,,,,,,,,,
eval_full_cyrillic_v1_train_final,primary,eval_full_cyrillic_v1_train_final,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_train_final/summary.json,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_train_final/predictions.jsonl,65031,0.003706065303965444,0.02407210919920241,0.9728898525318694,7.467776906398487,-0.4,63,0.0810908965262766,"cyrillic_handwriting|phrase|None,cyrillic_handwriting|word|None",needs_decision,,,,,,,,,,
eval_full_cyrillic_v1_val_final,primary,eval_full_cyrillic_v1_val_final,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_val_final/summary.json,,,outputs/htr_baseline_v1/eval_full_cyrillic_v1_val_final/predictions.jsonl,7232,0.08085436907536696,0.3268436578171092,0.6645464601769911,7.409430309734513,-0.4,63,0.0810908965262766,"cyrillic_handwriting|phrase|None,cyrillic_handwriting|word|None",needs_decision,,,,,,,,,,
eval_full_hkr_words_v1_test_final,primary,eval_full_hkr_words_v1_test_final,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_test_final/summary.json,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_test_final/predictions.jsonl,6495,0.1525421159570027,0.5186425455478618,0.371824480369515,10.273903002309469,-0.6,72,0.13101144310783036,"hkr_words|phrase|None,hkr_words|word|None",needs_decision,,,,,,,,,,
eval_full_hkr_words_v1_train_final,primary,eval_full_hkr_words_v1_train_final,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_train_final/summary.json,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_train_final/predictions.jsonl,51954,0.0028537487974202467,0.017722729080853736,0.9713785271586404,11.168321977133619,-0.6,72,0.13101144310783036,"hkr_words|phrase|None,hkr_words|word|None",needs_decision,,,,,,,,,,
eval_full_hkr_words_v1_val_final,primary,eval_full_hkr_words_v1_val_final,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_val_final/summary.json,,,outputs/htr_baseline_v1/eval_full_hkr_words_v1_val_final/predictions.jsonl,6494,0.1310928369219005,0.4641797556719077,0.4314752078842008,10.154296273483215,-0.6,72,0.13101144310783036,"hkr_words|phrase|None,hkr_words|word|None",needs_decision,,,,,,,,,,
eval_full_iam_v1_test_final,primary,eval_full_iam_v1_test_final,,,outputs/htr_baseline_v1/eval_full_iam_v1_test_final/summary.json,,,outputs/htr_baseline_v1/eval_full_iam_v1_test_final/predictions.jsonl,1039,0.06366733557681778,0.2202036934378109,0.2685274302213667,43.6390760346487,-0.5,76,0.06699550696201605,iam|line|None,needs_decision,,,,,,,,,,
eval_full_iam_v1_train_final,primary,eval_full_iam_v1_train_final,,,outputs/htr_baseline_v1/eval_full_iam_v1_train_final/summary.json,,,outputs/htr_baseline_v1/eval_full_iam_v1_train_final/predictions.jsonl,11134,0.0007167616823019173,0.003717254264993576,0.9718879109035388,43.22354948805461,-0.5,76,0.06699550696201605,iam|line|None,needs_decision,,,,,,,,,,
