subset,pilot_id,sample_id,dataset,level,method,image_width,image_height,image_area,foreground_ratio,skeleton_pixels,skeleton_density,node_count,edge_count,component_count,junction_count,endpoint_count,short_branch_count,loop_candidate_count,nodes_per_1k_skeleton,edges_per_1k_skeleton,components_per_1k_skeleton,junctions_per_1k_skeleton,endpoints_per_1k_skeleton,short_branches_per_1k_skeleton,junction_endpoint_ratio,edge_node_ratio,component_node_ratio,edges_per_component,nodes_per_component,mean_width_proxy,warning_count,warning_risk_score,graph_path,overlay_path,warnings
page_stress_graph_subset_v1,pilot2_hwr200_0001,hwr200_document_condition_004393,hwr200,page_from_document_condition,otsu_gridless,1368,1629,2228472,0.10615345402589757,95438,0.04282665431739775,11336,10202,4969,2864,8472,2500,0,118.77868354324274,106.89662398625285,52.06521511347681,30.00901108573105,88.76967245751169,26.195016660030596,0.3380547686496695,0.8999647141848977,0.43833803810868033,2.0531294022942244,2.281344334876233,2.6452512464610973,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0001/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0002,hwr200_document_condition_004394,hwr200,page_from_document_condition,otsu_gridless,1440,1920,2764800,0.10226996527777778,102019,0.03689923321759259,12845,10665,4519,3271,9574,2654,2,125.90791911310639,104.53935051313971,44.29567041433459,32.06265499563807,93.84526411746832,26.014761956106216,0.3416544808857322,0.8302841572596341,0.3518100428182172,2.360035406063288,2.8424430183668954,2.9047793525375387,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0002/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0003,hwr200_document_condition_004395,hwr200,page_from_document_condition,otsu_gridless,1440,1920,2764800,0.09178168402777778,79479,0.028746744791666667,16989,13437,8981,2205,14784,4041,14,213.75457668063262,169.06352621447175,112.9984020936348,27.743177443098176,186.01139923753445,50.84361906918809,0.14914772727272727,0.7909235387603744,0.5286361763494025,1.4961585569535687,1.8916601714731098,3.0950510181916244,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0003/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0004,hwr200_document_condition_006550,hwr200,page_from_document_condition,otsu_gridless,1858,2400,4459200,0.09726991388589881,102760,0.02304449228561177,6872,6873,803,3303,3569,768,0,66.87427014402492,66.88400155702608,7.814324639937719,32.142857142857146,34.731413001167766,7.473725184896847,0.9254693191370131,1.0001455180442376,0.11685098952270082,8.55915317559153,8.557907845579079,4.188423571551224,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0004/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0005,hwr200_document_condition_006551,hwr200,page_from_document_condition,otsu_gridless,1800,2400,4320000,0.06528935185185185,95636,0.022137962962962963,10710,9815,3155,3476,7234,2249,4,111.98711782174077,102.6287172194571,32.98966916224016,36.34614580283575,75.64097201890502,23.51624911121335,0.4805087088747581,0.9164332399626517,0.2945845004668534,3.1109350237717908,3.3946117274167986,2.926004603547111,4,60.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0005/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0007,hwr200_document_condition_008365,hwr200,page_from_document_condition,otsu_gridless,853,1136,969008,0.08687957168568268,39003,0.04025044168881991,5105,4968,2732,1178,3927,1065,5,130.8873676383868,127.37481732174449,70.04589390559701,30.202804912442634,100.68456272594416,27.30559187754788,0.2999745352686529,0.9731635651322234,0.5351616062683644,1.8184480234260616,1.8685944363103952,2.3851360374134485,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0007/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0008,hwr200_document_condition_008366,hwr200,page_from_document_condition,otsu_gridless,1280,960,1228800,0.0669921875,39309,0.03198974609375,5573,5325,2965,1206,4367,1390,6,141.77414841384925,135.46516065023278,75.42801902872115,30.679996947263984,111.09415146658526,35.36085883639879,0.27616212502862375,0.9554997308451463,0.5320294275973443,1.7959527824620574,1.8795952782462058,2.3673628224963448,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0008/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0009,hwr200_document_condition_008367,hwr200,page_from_document_condition,otsu_gridless,960,1280,1228800,0.06267578125,41894,0.03409342447916667,6833,6349,3224,1478,5355,1825,6,163.10211486131666,151.54914784933402,76.95612736907432,35.279514966343626,127.82259989497302,43.562323960471666,0.27600373482726426,0.9291672764525098,0.47182789404361186,1.9692928039702233,2.1194168734491314,2.2599929932033684,3,55.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0009/graph_overlay_otsu_gridless.png,hwr200_page|too_many_components|too_many_junctions
page_stress_graph_subset_v1,pilot2_hwr200_0010,hwr200_document_condition_000349,hwr200,page_from_document_condition,otsu_gridless,1705,2400,4092000,0.04799828934506354,81392,0.019890518084066472,19647,19523,16127,1847,17800,7342,21,241.38735993709454,239.86386868488304,198.13986632592884,22.692647926086103,218.69471201100845,90.20542559465304,0.10376404494382023,0.9936886038580954,0.8208377869394818,1.2105785328951448,1.218267501705215,2.428776359627806,5,75.0,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_otsu_gridless.json,outputs/graph_pilot_v2/hwr200/pilot2_hwr200_0010/graph_overlay_otsu_gridless.png,hwr200_page|large_page_scaled|too_many_components|too_many_junctions|too_many_short_branches
page_stress_graph_subset_v1,pilot2_hkr_forms_0001,hkr_forms_page_000281,hkr_forms,form_page,otsu_gridless,1697,2400,4072800,0.026083038695737575,44419,0.010906256138283246,5329,4355,1984,1276,4053,916,22,119.9711835025552,98.0436299781625,44.665571039420065,28.72644589027218,91.24473761228303,20.621805983925796,0.3148285220824081,0.8172264965284294,0.3723024957778195,2.1950604838709675,2.6859879032258065,2.326640098678219,5,65.0,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_otsu_gridless.json,outputs/graph_pilot_v2/hkr_forms/pilot2_hkr_forms_0001/graph_overlay_otsu_gridless.png,hkr_forms_page|hkr_possible_form_grid|large_page_scaled|too_many_components|too_many_junctions
