pilot_id,sample_id,dataset,level,method,is_primary_variant,is_page_stress_dataset,image_width,image_height,image_area,foreground_ratio,skeleton_pixels,skeleton_density,node_count,edge_count,component_count,junction_count,endpoint_count,short_branch_count,loop_candidate_count,nodes_per_1k_skeleton,edges_per_1k_skeleton,components_per_1k_skeleton,junctions_per_1k_skeleton,endpoints_per_1k_skeleton,short_branches_per_1k_skeleton,junction_endpoint_ratio,edge_node_ratio,component_node_ratio,mean_width_proxy,warning_count,warning_risk_score,graph_path,overlay_path,warnings
pilot2_iam_0001,iam_line_000798,iam,line,otsu,True,False,1855,120,222600,0.04522012578616352,2248,0.010098831985624439,117,88,39,27,90,14,1,52.04626334519573,39.145907473309606,17.348754448398576,12.01067615658363,40.0355871886121,6.227758007117438,0.3,0.7521367521367521,0.3333333333333333,4.085188270413982,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0001/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0001/graph_overlay_otsu.png,
pilot2_iam_0002,iam_line_005793,iam,line,otsu,True,False,612,79,48348,0.08449160254819227,905,0.01871845784727393,41,35,13,12,29,3,0,45.30386740331492,38.67403314917127,14.3646408839779,13.259668508287293,32.04419889502763,3.314917127071823,0.41379310344827586,0.8536585365853658,0.3170731707317073,4.35829371260094,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0002/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0002/graph_overlay_otsu.png,
pilot2_iam_0003,iam_line_002839,iam,line,otsu,True,False,1729,164,283556,0.06456572952080013,3828,0.013499978840158558,206,202,55,83,123,50,0,53.81400208986416,52.76907001044932,14.367816091954023,21.682340647857888,32.13166144200627,13.061650992685475,0.6747967479674797,0.9805825242718447,0.2669902912621359,4.064739387190713,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0003/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0003/graph_overlay_otsu.png,
pilot2_iam_0004,iam_line_009446,iam,line,otsu,True,False,1629,200,325800,0.06062001227747084,3971,0.012188459177409454,128,122,21,56,72,4,0,32.23369428355578,30.722739864014102,5.28834046839587,14.102241249055654,18.131453034500126,1.007302946361118,0.7777777777777778,0.953125,0.1640625,4.984609164582116,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0004/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0004/graph_overlay_otsu.png,
pilot2_iam_0005,iam_line_007508,iam,line,otsu,True,False,1727,99,170973,0.10511016359308195,2875,0.016815520579272752,161,183,13,89,72,27,0,56.0,63.65217391304348,4.521739130434782,30.956521739130434,25.043478260869566,9.391304347826088,1.2361111111111112,1.1366459627329193,0.08074534161490683,5.647927749015132,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0005/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0005/graph_overlay_otsu.png,
pilot2_iam_0006,iam_line_001891,iam,line,otsu,True,False,434,89,38626,0.12983482628281467,1241,0.03212861802930669,45,39,9,16,29,8,0,36.2610797743755,31.426269137792104,7.2522159548751,12.892828364222401,23.368251410153103,6.446414182111201,0.5517241379310345,0.8666666666666667,0.2,4.206961635050866,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0006/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0006/graph_overlay_otsu.png,
pilot2_iam_0007,iam_line_009252,iam,line,otsu,True,False,1920,120,230400,0.08514756944444445,2988,0.01296875,184,153,42,60,124,20,2,61.57965194109772,51.204819277108435,14.056224899598394,20.080321285140563,41.49933065595716,6.693440428380187,0.4838709677419355,0.8315217391304348,0.22826086956521738,6.076067389650209,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0007/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0007/graph_overlay_otsu.png,
pilot2_iam_0008,iam_line_012372,iam,line,otsu,True,False,1715,96,164640,0.0873117103984451,3272,0.01987366375121477,143,144,26,68,75,17,0,43.7041564792176,44.00977995110024,7.946210268948655,20.78239608801956,22.921760391198045,5.19559902200489,0.9066666666666666,1.006993006993007,0.18181818181818182,4.464752053402134,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0008/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0008/graph_overlay_otsu.png,
pilot2_iam_0009,iam_line_010228,iam,line,otsu,True,False,1705,54,92070,0.11533615727164115,2469,0.026816552623004235,147,143,27,61,86,30,0,59.53827460510328,57.91818550020251,10.935601458080194,24.706358849736734,34.831915755366545,12.15066828675577,0.7093023255813954,0.9727891156462585,0.1836734693877551,4.13568058547044,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0009/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0009/graph_overlay_otsu.png,
pilot2_iam_0010,iam_line_012605,iam,line,otsu,True,False,1613,76,122588,0.17119130746892028,2839,0.023158873625477208,108,102,25,44,64,8,2,38.04156393096161,35.92814371257485,8.805917576611483,15.49841493483621,22.543148996125396,2.8178936245156745,0.6875,0.9444444444444444,0.23148148148148148,7.195909290706125,0,0.0,outputs/graph_pilot_v2/iam/pilot2_iam_0010/graph_otsu.json,outputs/graph_pilot_v2/iam/pilot2_iam_0010/graph_overlay_otsu.png,
pilot2_cyr_word_0001,cyr_word_008780,cyrillic_handwriting,word,otsu,True,False,256,64,16384,0.07379150390625,496,0.0302734375,39,40,11,14,25,8,0,78.62903225806451,80.64516129032258,22.177419354838708,28.225806451612904,50.403225806451616,16.129032258064516,0.56,1.0256410256410255,0.28205128205128205,2.7670283276129006,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0001/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0001/graph_overlay_otsu.png,
pilot2_cyr_word_0002,cyr_word_052296,cyrillic_handwriting,word,otsu,True,False,197,54,10638,0.19627749576988154,641,0.060255687159240456,88,106,12,50,38,32,0,137.28549141965678,165.3666146645866,18.720748829953198,78.003120124805,59.28237129485179,49.921996879875195,1.3157894736842106,1.2045454545454546,0.13636363636363635,2.9532489115562743,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0002/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0002/graph_overlay_otsu.png,
pilot2_cyr_word_0003,cyr_word_038368,cyrillic_handwriting,word,otsu,True,False,256,64,16384,0.1390380859375,713,0.04351806640625,42,34,10,12,30,6,0,58.906030855539974,47.68583450210379,14.025245441795231,16.830294530154276,42.07573632538569,8.415147265077138,0.4,0.8095238095238095,0.23809523809523808,3.4465657489015533,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0003/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0003/graph_overlay_otsu.png,
pilot2_cyr_word_0004,cyr_word_035925,cyrillic_handwriting,word,otsu,True,False,206,86,17716,0.19044931135696547,527,0.029747121246331,60,50,24,14,46,6,0,113.85199240986718,94.87666034155598,45.54079696394687,26.565464895635674,87.2865275142315,11.385199240986717,0.30434782608695654,0.8333333333333334,0.4,5.0040500895631395,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0004/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0004/graph_overlay_otsu.png,
pilot2_cyr_word_0005,cyr_word_018728,cyrillic_handwriting,word,otsu,True,False,112,36,4032,0.20089285714285715,473,0.11731150793650794,64,58,16,21,43,17,1,135.30655391120507,122.6215644820296,33.82663847780127,44.397463002114165,90.9090909090909,35.940803382663844,0.4883720930232558,0.90625,0.25,2.123685926553532,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0005/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0005/graph_overlay_otsu.png,
pilot2_cyr_word_0006,cyr_word_068341,cyrillic_handwriting,word,otsu,True,False,294,85,24990,0.11744697879151661,677,0.027090836334533814,74,70,26,23,51,16,0,109.30576070901034,103.39734121122599,38.404726735598224,33.97341211225997,75.33234859675036,23.633677991137372,0.45098039215686275,0.9459459459459459,0.35135135135135137,3.9125172234267214,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0006/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0006/graph_overlay_otsu.png,
pilot2_cyr_word_0007,cyr_word_055219,cyrillic_handwriting,word,otsu,True,False,200,115,23000,0.03821739130434783,505,0.021956521739130434,42,29,13,7,35,1,0,83.16831683168317,57.42574257425743,25.742574257425744,13.861386138613861,69.3069306930693,1.9801980198019802,0.2,0.6904761904761905,0.30952380952380953,2.082997038947422,0,0.0,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0007/graph_otsu.json,outputs/graph_pilot_v2/cyrillic_handwriting/pilot2_cyr_word_0007/graph_overlay_otsu.png,
