model,risk_method,scope,bin_low,bin_high,n,mean_risk,error_rate
baseline,feature_only,all,0.0,0.1,0,,
baseline,feature_only,all,0.1,0.2,6,0.184002983428712,0.16666666666666666
baseline,feature_only,all,0.2,0.3,272,0.2689661052636634,0.3235294117647059
baseline,feature_only,all,0.3,0.4,1086,0.3564823015777684,0.4696132596685083
baseline,feature_only,all,0.4,0.5,1548,0.45038274732835093,0.5503875968992248
baseline,feature_only,all,0.5,0.6,1519,0.5481040251509304,0.576036866359447
baseline,feature_only,all,0.6,0.7,884,0.6421010100939595,0.6549773755656109
baseline,feature_only,all,0.7,0.8,212,0.7339565573230455,0.7735849056603774
baseline,feature_only,all,0.8,0.9,36,0.8307900756595442,0.9722222222222222
baseline,feature_only,all,0.9,1.0,0,,
baseline,feature_only,school,0.0,0.1,0,,
baseline,feature_only,school,0.1,0.2,6,0.184002983428712,0.16666666666666666
baseline,feature_only,school,0.2,0.3,237,0.26845817508802466,0.3037974683544304
baseline,feature_only,school,0.3,0.4,735,0.35210180642746053,0.4340136054421769
baseline,feature_only,school,0.4,0.5,667,0.44505159717195425,0.545727136431784
baseline,feature_only,school,0.5,0.6,264,0.5409337257768723,0.6363636363636364
baseline,feature_only,school,0.6,0.7,80,0.6436895511330605,0.6875
baseline,feature_only,school,0.7,0.8,11,0.7212944640439211,0.6363636363636364
baseline,feature_only,school,0.8,0.9,0,,
baseline,feature_only,school,0.9,1.0,0,,
baseline,model_confidence,all,0.0,0.1,4,0.08170920328954469,0.0
baseline,model_confidence,all,0.1,0.2,259,0.16930275279407378,0.15444015444015444
baseline,model_confidence,all,0.2,0.3,1080,0.24916743013881854,0.22870370370370371
baseline,model_confidence,all,0.3,0.4,854,0.34851022162654816,0.37822014051522246
baseline,model_confidence,all,0.4,0.5,689,0.4486230614958175,0.5442670537010159
baseline,model_confidence,all,0.5,0.6,544,0.5504059301546802,0.625
baseline,model_confidence,all,0.6,0.7,431,0.6501345319713201,0.7076566125290024
baseline,model_confidence,all,0.7,0.8,409,0.7505131744434046,0.7897310513447433
baseline,model_confidence,all,0.8,0.9,441,0.8494365978950192,0.8367346938775511
baseline,model_confidence,all,0.9,1.0,852,0.968004491092989,0.9178403755868545
baseline,model_confidence,school,0.0,0.1,3,0.07617045544808827,0.0
baseline,model_confidence,school,0.1,0.2,125,0.16637783581912335,0.168
baseline,model_confidence,school,0.2,0.3,403,0.24318875064623763,0.1588089330024814
baseline,model_confidence,school,0.3,0.4,235,0.3461569470283361,0.28936170212765955
baseline,model_confidence,school,0.4,0.5,202,0.4483014807073104,0.42574257425742573
baseline,model_confidence,school,0.5,0.6,158,0.5526405432023015,0.5126582278481012
baseline,model_confidence,school,0.6,0.7,144,0.6486770168076202,0.5277777777777778
baseline,model_confidence,school,0.7,0.8,144,0.7511135817481498,0.6736111111111112
baseline,model_confidence,school,0.8,0.9,151,0.8517471110638571,0.7218543046357616
baseline,model_confidence,school,0.9,1.0,435,0.9745156989655802,0.8827586206896552
baseline,confidence_graph,all,0.0,0.1,175,0.07475640428396503,0.12
baseline,confidence_graph,all,0.1,0.2,534,0.15334253071849668,0.19850187265917604
baseline,confidence_graph,all,0.2,0.3,643,0.24951812473377918,0.25505443234836706
baseline,confidence_graph,all,0.3,0.4,591,0.34941691753826765,0.34179357021996615
baseline,confidence_graph,all,0.4,0.5,602,0.44913324045515546,0.4435215946843854
baseline,confidence_graph,all,0.5,0.6,580,0.5481629204516841,0.5689655172413793
baseline,confidence_graph,all,0.6,0.7,520,0.648319406896839,0.65
baseline,confidence_graph,all,0.7,0.8,486,0.7505605502590238,0.7489711934156379
baseline,confidence_graph,all,0.8,0.9,500,0.8485782272997521,0.878
baseline,confidence_graph,all,0.9,1.0,932,0.9638149545718174,0.9366952789699571
baseline,confidence_graph,school,0.0,0.1,143,0.07305883065989835,0.1048951048951049
baseline,confidence_graph,school,0.1,0.2,357,0.1492556518005583,0.19047619047619047
baseline,confidence_graph,school,0.2,0.3,250,0.24626835621238197,0.256
baseline,confidence_graph,school,0.3,0.4,184,0.3505187909031693,0.3641304347826087
baseline,confidence_graph,school,0.4,0.5,161,0.4483108517212979,0.484472049689441
baseline,confidence_graph,school,0.5,0.6,138,0.5475617026667884,0.5942028985507246
baseline,confidence_graph,school,0.6,0.7,130,0.6446082713823076,0.6076923076923076
baseline,confidence_graph,school,0.7,0.8,130,0.7512717719217483,0.6538461538461539
baseline,confidence_graph,school,0.8,0.9,125,0.851248679257722,0.8
baseline,confidence_graph,school,0.9,1.0,382,0.9730443012819311,0.9109947643979057
plus_5k_context,feature_only,all,0.0,0.1,0,,
plus_5k_context,feature_only,all,0.1,0.2,13,0.18192164137937347,0.23076923076923078
plus_5k_context,feature_only,all,0.2,0.3,369,0.26626989107520727,0.33604336043360433
plus_5k_context,feature_only,all,0.3,0.4,1052,0.3544427679294698,0.42395437262357416
