model,risk_method,scope,coverage,n,cer,wer,exact,mean_risk
baseline,feature_only,all,0.1,556,0.14394198926573026,0.3579136690647482,0.6420863309352518,0.29254641308677826
baseline,feature_only,all,0.2,1113,0.1444270065563866,0.4146451033243486,0.5849056603773585,0.3262296919395133
baseline,feature_only,all,0.3,1669,0.1472160004964079,0.4550629119233074,0.5452366686638705,0.3513849866700646
baseline,feature_only,all,0.4,2225,0.14536192272147327,0.4786516853932584,0.5226966292134831,0.37292328531937585
baseline,feature_only,all,0.5,2782,0.14691035260769264,0.4955367840881859,0.5039539899352984,0.39327733780067786
baseline,feature_only,all,0.6,3338,0.14477690254885076,0.5009237068104653,0.4949071300179748,0.41258885083292257
baseline,feature_only,all,0.7,3894,0.14419483336711914,0.5063559322033898,0.4825372367745249,0.4312036639824896
baseline,feature_only,all,0.8,4450,0.14289728210955643,0.5046067415730338,0.47415730337078654,0.4500175234675091
baseline,feature_only,all,0.9,5007,0.1421067914392044,0.5045103521736235,0.46474935090872777,0.4694468680290822
baseline,feature_only,all,1.0,5563,0.14519806884976413,0.5130475163281203,0.4420276829049074,0.4933110930996918
baseline,feature_only,school,0.1,200,0.12184523809523809,0.29,0.71,0.2601741715543938
baseline,feature_only,school,0.2,400,0.1432996031746032,0.35,0.65,0.28448340018678453
baseline,feature_only,school,0.3,600,0.14420238095238094,0.3675,0.6333333333333333,0.30211678859243596
baseline,feature_only,school,0.4,800,0.14103273809523809,0.381875,0.62,0.3179335502594353
baseline,feature_only,school,0.5,1000,0.14629437229437228,0.4105,0.592,0.33234805311853577
baseline,feature_only,school,0.6,1200,0.14470165945165944,0.42541666666666667,0.5783333333333334,0.3460529634272848
baseline,feature_only,school,0.7,1400,0.14413585422513994,0.44571428571428573,0.5607142857142857,0.35968316329500444
baseline,feature_only,school,0.8,1600,0.14721604784104783,0.46375,0.543125,0.3738155287389829
baseline,feature_only,school,0.9,1800,0.15028921233087897,0.48277777777777775,0.525,0.389570111394423
baseline,feature_only,school,1.0,2000,0.15807490703740704,0.5005,0.507,0.41130437761726674
baseline,model_confidence,all,0.1,556,0.03942836812996568,0.1596223021582734,0.8273381294964028,0.19160855690614115
baseline,model_confidence,all,0.2,1113,0.039312152617335665,0.17026055705300988,0.8050314465408805,0.22170958446253639
baseline,model_confidence,all,0.3,1669,0.043713169019960876,0.19752346714599558,0.768723786698622,0.24979613724694583
baseline,model_confidence,all,0.4,2225,0.05169977819631697,0.24107865168539325,0.7182022471910112,0.2796210077335388
baseline,model_confidence,all,0.5,2782,0.05999268353653464,0.28674814282290917,0.6682242990654206,0.3122626900512866
baseline,model_confidence,all,0.6,3338,0.06862291159103408,0.327236868384262,0.621929298981426,0.34902689968904366
baseline,model_confidence,all,0.7,3894,0.08040809745292589,0.3706942304399932,0.5744735490498203,0.39108530230357935
baseline,model_confidence,all,0.8,4450,0.09546752260293673,0.4201647940074907,0.5267415730337078,0.4391319012810632
baseline,model_confidence,all,0.9,5007,0.11452430697851658,0.46705945010318883,0.4829239065308568,0.4907145244511448
baseline,model_confidence,all,1.0,5563,0.14519806884976413,0.5130475163281204,0.4420276829049074,0.5403444466457856
baseline,model_confidence,school,0.1,200,0.03732178932178932,0.125,0.875,0.1791824301298565
baseline,model_confidence,school,0.2,400,0.04068380230880231,0.1475,0.8525,0.20619293040979814
baseline,model_confidence,school,0.3,600,0.04325278425278425,0.16666666666666666,0.8333333333333334,0.23439244362074532
baseline,model_confidence,school,0.4,800,0.052637848262848265,0.2125,0.79,0.2677701764160804
baseline,model_confidence,school,0.5,1000,0.059796289821289816,0.259,0.746,0.3074659146303495
baseline,model_confidence,school,0.6,1200,0.07061522274022274,0.30416666666666664,0.7,0.35379185309881156
baseline,model_confidence,school,0.7,1400,0.08182799938157082,0.34785714285714286,0.6564285714285715,0.4061837004248056
baseline,model_confidence,school,0.8,1600,0.10016002573815073,0.40125,0.6075,0.4627519983333852
baseline,model_confidence,school,0.9,1800,0.12296205337872004,0.4508333333333333,0.5572222222222222,0.5182142849741467
baseline,model_confidence,school,1.0,2000,0.15807490703740704,0.5005,0.507,0.5661748919236843
baseline,confidence_graph,all,0.1,556,0.05143125759132953,0.16996402877697842,0.8273381294964028,0.11930656128741236
baseline,confidence_graph,all,0.2,1113,0.05167619143360383,0.2006588799041629,0.7924528301886793,0.16923331316518536
baseline,confidence_graph,all,0.3,1669,0.05533915546383386,0.22328739764329936,0.7645296584781306,0.2150078064990136
baseline,confidence_graph,all,0.4,2225,0.05974161235694612,0.25681647940074903,0.7267415730337079,0.26114282353210233
baseline,confidence_graph,all,0.5,2782,0.06651298643913986,0.29720824346992575,0.6779295470884256,0.30750410070030254
baseline,confidence_graph,all,0.6,3338,0.07427178730581521,0.3326592770121829,0.6324146195326543,0.35409707244786126
baseline,confidence_graph,all,0.7,3894,0.0832139065917396,0.36951720595788395,0.588597842835131,0.4027463659037166
baseline,confidence_graph,all,0.8,4450,0.09603979234086722,0.4167378277153558,0.5348314606741573,0.453259583426874
baseline,confidence_graph,all,0.9,5007,0.1141281551207732,0.4653784701418015,0.48512083083682844,0.5044840664078486
baseline,confidence_graph,all,1.0,5563,0.14519806884976413,0.5130475163281204,0.4420276829049074,0.5527033452384216
baseline,confidence_graph,school,0.1,200,0.04204761904761904,0.105,0.895,0.08298134523532852
baseline,confidence_graph,school,0.2,400,0.048490259740259736,0.15,0.85,0.11311666791348923
baseline,confidence_graph,school,0.3,600,0.05100150312650312,0.18166666666666667,0.8183333333333334,0.14238959066200446
baseline,confidence_graph,school,0.4,800,0.05803230103230103,0.20625,0.79375,0.17627357523788093
baseline,confidence_graph,school,0.5,1000,0.06230786158286158,0.246,0.757,0.21746510611684414
baseline,confidence_graph,school,0.6,1200,0.07366594285344284,0.2991666666666667,0.705,0.26509692983344074
baseline,confidence_graph,school,0.7,1400,0.08192982810839952,0.34,0.6642857142857143,0.3198670330678552
baseline,confidence_graph,school,0.8,1600,0.10132796717171715,0.396875,0.610625,0.38082311376729394
baseline,confidence_graph,school,0.9,1800,0.12275077391744058,0.4502777777777778,0.5572222222222222,0.4432362914499868
baseline,confidence_graph,school,1.0,2000,0.15807490703740704,0.5005,0.507,0.4985546013890147
plus_5k_context,feature_only,all,0.1,556,0.1316054299417609,0.34022781774580335,0.6636690647482014,0.27806995217927816
plus_5k_context,feature_only,all,0.2,1113,0.12827104013087842,0.3806528900868523,0.6235399820305481,0.3136421641868537
plus_5k_context,feature_only,all,0.3,1669,0.1335265393683608,0.4252047134012382,0.5799880167765129,0.34130179814320516
plus_5k_context,feature_only,all,0.4,2225,0.13596737469771178,0.4584269662921348,0.5451685393258427,0.365625066159545
plus_5k_context,feature_only,all,0.5,2782,0.13733940924858098,0.4704349388928828,0.5312724658519051,0.3881144918317024
plus_5k_context,feature_only,all,0.6,3338,0.13693698178040453,0.4788546035550229,0.5158777711204314,0.4094909674994338
plus_5k_context,feature_only,all,0.7,3894,0.135815117684432,0.4799477829138846,0.5071905495634309,0.42962529833690727
plus_5k_context,feature_only,all,0.8,4450,0.13408840069768166,0.48076779026217226,0.49595505617977526,0.4492495244237954
plus_5k_context,feature_only,all,0.9,5007,0.13338603402677013,0.481775514280008,0.48452166966247256,0.46902295789401033
plus_5k_context,feature_only,all,1.0,5563,0.1359716763477458,0.4907244292647852,0.46054287255078197,0.49227778576377684
plus_5k_context,feature_only,school,0.1,200,0.11752380952380953,0.2825,0.715,0.24218987875221834
plus_5k_context,feature_only,school,0.2,400,0.13080952380952382,0.33375,0.67,0.26560848539254783
plus_5k_context,feature_only,school,0.3,600,0.1250297619047619,0.3375,0.6683333333333333,0.28237229065745695
plus_5k_context,feature_only,school,0.4,800,0.12225257034632034,0.34875,0.65625,0.2970828222826994
plus_5k_context,feature_only,school,0.5,1000,0.12517162004662005,0.372,0.633,0.3106455380329401
plus_5k_context,feature_only,school,0.6,1200,0.12691094322344323,0.39,0.6158333333333333,0.3233957255395234
plus_5k_context,feature_only,school,0.7,1400,0.1275626318126318,0.4042857142857143,0.6035714285714285,0.335991947256583
plus_5k_context,feature_only,school,0.8,1600,0.1300556283993784,0.425,0.58375,0.34914424751089995
plus_5k_context,feature_only,school,0.9,1800,0.13315530303030304,0.44222222222222224,0.5661111111111111,0.36363987665554254
plus_5k_context,feature_only,school,1.0,2000,0.14034470945720945,0.465,0.5425,0.3840126255497851
plus_5k_context,model_confidence,all,0.1,556,0.03249423012568378,0.13489208633093525,0.8399280575539568,0.2026370823913991
plus_5k_context,model_confidence,all,0.2,1113,0.0360841566892905,0.15588499550763701,0.8122192273135669,0.23744576650329455
plus_5k_context,model_confidence,all,0.3,1669,0.04342375525656239,0.1895845815857799,0.7729179149191132,0.266128741646687
plus_5k_context,model_confidence,all,0.4,2225,0.0486761896842427,0.21786516853932583,0.7393258426966293,0.2953548653541839
plus_5k_context,model_confidence,all,0.5,2782,0.05735686089190094,0.2653965971722981,0.6854780733285406,0.3265845583123856
plus_5k_context,model_confidence,all,0.6,3338,0.06608401624200327,0.305022967845017,0.6393049730377471,0.3599946860385742
plus_5k_context,model_confidence,all,0.7,3894,0.07607841856253916,0.35012840267077555,0.593733949666153,0.39761404476955653
plus_5k_context,model_confidence,all,0.8,4450,0.0903265685770034,0.3972434456928839,0.5474157303370787,0.43936190744502046
plus_5k_context,model_confidence,all,0.9,5007,0.1069763125465869,0.4432261500565874,0.5026962252846016,0.48557498684169736
plus_5k_context,model_confidence,all,1.0,5563,0.1359716763477458,0.4907244292647851,0.46054287255078197,0.534183519151063
plus_5k_context,model_confidence,school,0.1,200,0.03587103174603175,0.125,0.875,0.1849295925156101
plus_5k_context,model_confidence,school,0.2,400,0.039875,0.145,0.855,0.22124394499815458
plus_5k_context,model_confidence,school,0.3,600,0.04381272893772894,0.15666666666666668,0.8433333333333334,0.2503073091813728
plus_5k_context,model_confidence,school,0.4,800,0.04594256438006438,0.1775,0.82375,0.2792718897094055
plus_5k_context,model_confidence,school,0.5,1000,0.05230942668442668,0.216,0.787,0.3119968023267136
plus_5k_context,model_confidence,school,0.6,1200,0.06184854266104267,0.25916666666666666,0.7441666666666666,0.3492713255557477
plus_5k_context,model_confidence,school,0.7,1400,0.07333434422720136,0.3075,0.6978571428571428,0.3924793048087785
plus_5k_context,model_confidence,school,0.8,1600,0.08663438644688642,0.3578125,0.64875,0.44123486485564006
plus_5k_context,model_confidence,school,0.9,1800,0.10568319643319643,0.4097222222222222,0.5977777777777777,0.49433247146863735
plus_5k_context,model_confidence,school,1.0,2000,0.14034470945720945,0.465,0.5425,0.5441371361760934
plus_5k_context,confidence_graph,all,0.1,556,0.042275465342012104,0.1357913669064748,0.8615107913669064,0.12435721119326384
plus_5k_context,confidence_graph,all,0.2,1113,0.04536533397719382,0.16442048517520216,0.8301886792452831,0.17717475383472564
plus_5k_context,confidence_graph,all,0.3,1669,0.05190349668815111,0.20765927701218292,0.7837028160575195,0.22539702621641464
plus_5k_context,confidence_graph,all,0.4,2225,0.05869683103853626,0.24348314606741572,0.7388764044943821,0.26999238885006355
plus_5k_context,confidence_graph,all,0.5,2782,0.0648223817737921,0.277887610831536,0.6951833213515457,0.3133786010392937
plus_5k_context,confidence_graph,all,0.6,3338,0.07214475842695871,0.31361094467745154,0.6530856800479329,0.3569621322287428
plus_5k_context,confidence_graph,all,0.7,3894,0.07996095544562583,0.351095702790618,0.6091422701592193,0.4012668003959514
plus_5k_context,confidence_graph,all,0.8,4450,0.09216455592215672,0.3959550561797753,0.5557303370786517,0.4474098525925765
plus_5k_context,confidence_graph,all,0.9,5007,0.10676823182485533,0.4411124425803874,0.5062911923307369,0.494888569008856
plus_5k_context,confidence_graph,all,1.0,5563,0.1359716763477458,0.4907244292647851,0.46054287255078197,0.5426479964319313
plus_5k_context,confidence_graph,school,0.1,200,0.04346428571428571,0.12,0.88,0.08350455195230495
plus_5k_context,confidence_graph,school,0.2,400,0.04622718253968253,0.1425,0.8575,0.11458049984395732
plus_5k_context,confidence_graph,school,0.3,600,0.045518518518518514,0.145,0.855,0.1432266578392096
plus_5k_context,confidence_graph,school,0.4,800,0.047706845238095236,0.17,0.83,0.1740628498456499
plus_5k_context,confidence_graph,school,0.5,1000,0.05308870851370851,0.208,0.795,0.20773182802354814
plus_5k_context,confidence_graph,school,0.6,1200,0.0642915256040256,0.24916666666666668,0.7541666666666667,0.24440848210599464
