model,risk_method,bucket_type,bucket,n,cer,wer,exact
baseline,feature_only,dataset,hkr_words,2000,0.09465479424900865,0.3994583333333333,0.5015
baseline,feature_only,dataset,cyrillic_handwriting,1563,0.19339568422162923,0.6744508423970995,0.2827895073576456
baseline,feature_only,dataset,school_notebooks_clean,2000,0.15807490703740704,0.5005,0.507
baseline,feature_only,school_quality,clean_core,1764,0.14777567167022948,0.485827664399093,0.5226757369614512
baseline,feature_only,school_quality,hard_real,236,0.23505732732427648,0.6101694915254238,0.3898305084745763
baseline,feature_only,school_quality,invalid_or_review,0,0.0,0.0,0.0
baseline,model_confidence,dataset,hkr_words,2000,0.09465479424900865,0.3994583333333333,0.5015
baseline,model_confidence,dataset,cyrillic_handwriting,1563,0.19339568422162923,0.6744508423970995,0.2827895073576456
baseline,model_confidence,dataset,school_notebooks_clean,2000,0.15807490703740704,0.5005,0.507
baseline,model_confidence,school_quality,clean_core,1764,0.14777567167022948,0.485827664399093,0.5226757369614512
baseline,model_confidence,school_quality,hard_real,236,0.23505732732427648,0.6101694915254238,0.3898305084745763
baseline,model_confidence,school_quality,invalid_or_review,0,0.0,0.0,0.0
baseline,confidence_graph,dataset,hkr_words,2000,0.09465479424900865,0.3994583333333333,0.5015
baseline,confidence_graph,dataset,cyrillic_handwriting,1563,0.19339568422162923,0.6744508423970995,0.2827895073576456
baseline,confidence_graph,dataset,school_notebooks_clean,2000,0.15807490703740704,0.5005,0.507
baseline,confidence_graph,school_quality,clean_core,1764,0.14777567167022948,0.485827664399093,0.5226757369614512
baseline,confidence_graph,school_quality,hard_real,236,0.23505732732427648,0.6101694915254238,0.3898305084745763
baseline,confidence_graph,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_5k_context,feature_only,dataset,hkr_words,2000,0.0910228859676615,0.3865,0.5145
plus_5k_context,feature_only,dataset,cyrillic_handwriting,1563,0.18789203114060649,0.6570057581573897,0.2866282789507358
plus_5k_context,feature_only,dataset,school_notebooks_clean,2000,0.14034470945720945,0.465,0.5425
plus_5k_context,feature_only,school_quality,clean_core,1764,0.13118032603576824,0.44501133786848074,0.5629251700680272
plus_5k_context,feature_only,school_quality,hard_real,236,0.20884459231916858,0.614406779661017,0.3898305084745763
plus_5k_context,feature_only,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_5k_context,model_confidence,dataset,hkr_words,2000,0.0910228859676615,0.3865,0.5145
plus_5k_context,model_confidence,dataset,cyrillic_handwriting,1563,0.18789203114060649,0.6570057581573897,0.2866282789507358
plus_5k_context,model_confidence,dataset,school_notebooks_clean,2000,0.14034470945720945,0.465,0.5425
plus_5k_context,model_confidence,school_quality,clean_core,1764,0.13118032603576824,0.44501133786848074,0.5629251700680272
plus_5k_context,model_confidence,school_quality,hard_real,236,0.20884459231916858,0.614406779661017,0.3898305084745763
plus_5k_context,model_confidence,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_5k_context,confidence_graph,dataset,hkr_words,2000,0.0910228859676615,0.3865,0.5145
plus_5k_context,confidence_graph,dataset,cyrillic_handwriting,1563,0.18789203114060649,0.6570057581573897,0.2866282789507358
plus_5k_context,confidence_graph,dataset,school_notebooks_clean,2000,0.14034470945720945,0.465,0.5425
plus_5k_context,confidence_graph,school_quality,clean_core,1764,0.13118032603576824,0.44501133786848074,0.5629251700680272
plus_5k_context,confidence_graph,school_quality,hard_real,236,0.20884459231916858,0.614406779661017,0.3898305084745763
plus_5k_context,confidence_graph,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_10k_context,feature_only,dataset,hkr_words,2000,0.09171769317284023,0.3798333333333333,0.5245
plus_10k_context,feature_only,dataset,cyrillic_handwriting,1563,0.18580688289497263,0.6629558541266793,0.2891874600127959
plus_10k_context,feature_only,dataset,school_notebooks_clean,2000,0.13892877261627262,0.47175,0.539
plus_10k_context,feature_only,school_quality,clean_core,1764,0.12907369620804995,0.4537981859410431,0.5572562358276644
plus_10k_context,feature_only,school_quality,hard_real,236,0.21259129288790307,0.6059322033898306,0.4025423728813559
plus_10k_context,feature_only,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_10k_context,model_confidence,dataset,hkr_words,2000,0.09171769317284023,0.3798333333333333,0.5245
plus_10k_context,model_confidence,dataset,cyrillic_handwriting,1563,0.18580688289497263,0.6629558541266793,0.2891874600127959
plus_10k_context,model_confidence,dataset,school_notebooks_clean,2000,0.13892877261627262,0.47175,0.539
plus_10k_context,model_confidence,school_quality,clean_core,1764,0.12907369620804995,0.4537981859410431,0.5572562358276644
plus_10k_context,model_confidence,school_quality,hard_real,236,0.21259129288790307,0.6059322033898306,0.4025423728813559
plus_10k_context,model_confidence,school_quality,invalid_or_review,0,0.0,0.0,0.0
plus_10k_context,confidence_graph,dataset,hkr_words,2000,0.09171769317284023,0.3798333333333333,0.5245
plus_10k_context,confidence_graph,dataset,cyrillic_handwriting,1563,0.18580688289497263,0.6629558541266793,0.2891874600127959
plus_10k_context,confidence_graph,dataset,school_notebooks_clean,2000,0.13892877261627262,0.47175,0.539
plus_10k_context,confidence_graph,school_quality,clean_core,1764,0.12907369620804995,0.4537981859410431,0.5572562358276644
plus_10k_context,confidence_graph,school_quality,hard_real,236,0.21259129288790307,0.6059322033898306,0.4025423728813559
plus_10k_context,confidence_graph,school_quality,invalid_or_review,0,0.0,0.0,0.0
