model,scope,coverage,n,cer,wer,exact,mean_risk_score
baseline,all,0.1,556,0.1210385140219678,0.4830635491606714,0.4802158273381295,0.17187544687858158
baseline,all,0.2,1113,0.12045096404298375,0.4894429469901168,0.46720575022461813,0.1963477167414244
baseline,all,0.3,1669,0.11825860119189859,0.48162572398641895,0.47273816656680645,0.21374474144067787
baseline,all,0.4,2225,0.1194394839978727,0.4862996254681648,0.4669662921348315,0.22814701887036595
baseline,all,0.5,2782,0.12271046255717728,0.5000359453630482,0.4550682961897915,0.241152645502828
baseline,all,0.6,3338,0.12624475200578408,0.5074395845815858,0.4445775913720791,0.2535438586698392
baseline,all,0.7,3894,0.13200510245666644,0.5162215374079782,0.43425783256291733,0.2659049691094228
baseline,all,0.8,4450,0.13568252905341124,0.5212172284644194,0.4285393258426966,0.27933397475684185
baseline,all,0.9,5007,0.14103542395276847,0.5252979162505825,0.4244058318354304,0.29727677915809436
baseline,all,1.0,5563,0.1452828340172658,0.5133770747198754,0.44112888729103,0.3301117149697893
baseline,school,0.1,200,0.1442238455988456,0.5125,0.5,0.17267775
baseline,school,0.2,400,0.13816320485070485,0.53625,0.475,0.1973529375
baseline,school,0.3,600,0.13275143837643835,0.5258333333333334,0.4866666666666667,0.21575874999999997
baseline,school,0.4,800,0.1345504218004218,0.5325,0.47875,0.23133928124999997
baseline,school,0.5,1000,0.1350660866910867,0.533,0.478,0.24591232500000001
baseline,school,0.6,1200,0.14241208097458097,0.5404166666666667,0.47,0.260754375
baseline,school,0.7,1400,0.1491325301682445,0.5453571428571429,0.4657142857142857,0.2795634586941139
baseline,school,0.8,1600,0.14758566780441779,0.5209375,0.48875,0.3082432274619336
baseline,school,0.9,1800,0.14900707779874448,0.5052777777777778,0.5033333333333333,0.33940165077508433
baseline,school,1.0,2000,0.15749263653013654,0.50175,0.506,0.3758812384274325
plus_5k_context,all,0.1,556,0.11842172483438883,0.47347122302158273,0.4694244604316547,0.17187544687858158
plus_5k_context,all,0.2,1113,0.11998848263118124,0.4734201856843366,0.46810422282120395,0.1963477167414244
plus_5k_context,all,0.3,1669,0.11664177318220637,0.46924305971639707,0.47393648891551826,0.21374474144067787
plus_5k_context,all,0.4,2225,0.11674331576093501,0.4730711610486891,0.470561797752809,0.22814701887036595
plus_5k_context,all,0.5,2782,0.11929321742429504,0.4849628564581835,0.46369518332135157,0.241152645502828
plus_5k_context,all,0.6,3338,0.1195326974131462,0.48381765528260434,0.4652486518873577,0.2535438586698392
plus_5k_context,all,0.7,3894,0.12345674751388232,0.4916495463105632,0.4548022598870056,0.2659049691094228
plus_5k_context,all,0.8,4450,0.12668175003704799,0.49797378277153564,0.44764044943820225,0.27933397475684185
plus_5k_context,all,0.9,5007,0.1319612258372143,0.5014280007988817,0.44437787098062714,0.29727677915809436
plus_5k_context,all,1.0,5563,0.1359716763477458,0.4907244292647852,0.46054287255078197,0.3301117149697893
plus_5k_context,school,0.1,200,0.12542766955266957,0.475,0.525,0.17267775
plus_5k_context,school,0.2,400,0.12698069985569985,0.49,0.515,0.1973529375
