bucket_type,bucket,model,n,cer,wer,exact,delta_cer_vs_baseline,delta_wer_vs_baseline,delta_exact_vs_baseline,mean_risk_score
dataset,cyrillic_handwriting,baseline,1563,0.193199437851824,0.673277884410322,0.28150991682661547,0.0,0.0,0.0,0.30652486789639977
dataset,cyrillic_handwriting,plus_5k_context,1563,0.18789203114060649,0.6570057581573897,0.2866282789507358,-0.005307406711217516,-0.016272126252932284,0.0051183621241203126,0.30652486789639977
dataset,cyrillic_handwriting,plus_10k_context,1563,0.1858068828949726,0.6629558541266795,0.2891874600127959,-0.007392554956851399,-0.010322030283642536,0.007677543186180413,0.30652486789639977
dataset,hkr_words,baseline,2000,0.09562620560768781,0.40004166666666663,0.501,0.0,0.0,0.0,0.3027753125
dataset,hkr_words,plus_5k_context,2000,0.0910228859676615,0.3865,0.5145,-0.004603319640026304,-0.013541666666666619,0.013499999999999956,0.3027753125
dataset,hkr_words,plus_10k_context,2000,0.09171769317284023,0.37983333333333336,0.5245,-0.0039085124348475775,-0.020208333333333273,0.023499999999999965,0.3027753125
dataset,school_notebooks_clean,baseline,2000,0.1574926365301365,0.50175,0.506,0.0,0.0,0.0,0.37588123842743243
dataset,school_notebooks_clean,plus_5k_context,2000,0.14034470945720942,0.465,0.5425,-0.01714792707292709,-0.036750000000000005,0.03649999999999998,0.37588123842743243
dataset,school_notebooks_clean,plus_10k_context,2000,0.13892877261627262,0.47175,0.539,-0.018563863913863887,-0.030000000000000027,0.03300000000000003,0.37588123842743243
text_len,1-3,baseline,493,0.14942528735632182,0.2870182555780933,0.7099391480730223,0.0,0.0,0.0,0.6064926807563358
text_len,1-3,plus_5k_context,493,0.14942528735632182,0.2718052738336714,0.7261663286004056,0.0,-0.015212981744421872,0.016227180527383367,0.6064926807563358
text_len,1-3,plus_10k_context,493,0.16497633536173092,0.3144016227180527,0.6815415821501014,0.015551048005409102,0.027383367139959425,-0.028397565922920864,0.6064926807563358
text_len,11+,baseline,1765,0.12080201047886259,0.4979697828139754,0.3705382436260623,0.0,0.0,0.0,0.29989707551930533
text_len,11+,plus_5k_context,1765,0.1148013169469681,0.48568460812086867,0.3784702549575071,-0.006000693531894488,-0.012285174693106748,0.007932011331444777,0.29989707551930533
text_len,11+,plus_10k_context,1765,0.1112907292703204,0.4842492917847025,0.3886685552407932,-0.009511281208542194,-0.013720491029272919,0.018130311614730887,0.29989707551930533
text_len,4-6,baseline,1538,0.15762895535327265,0.49934980494148246,0.5026007802340702,0.0,0.0,0.0,0.30927686381435315
text_len,4-6,plus_5k_context,1538,0.14361725184221932,0.4635890767230169,0.5383615084525357,-0.014011703511053325,-0.03576072821846554,0.03576072821846554,0.30927686381435315
text_len,4-6,plus_10k_context,1538,0.1484503684438665,0.49219765929778936,0.5143042912873862,-0.00917858690940615,-0.0071521456436930975,0.011703511053316018,0.30927686381435315
text_len,7-10,baseline,1767,0.1578341013824885,0.6041312959818902,0.3831352574985852,0.0,0.0,0.0,0.3013154634555831
text_len,7-10,plus_5k_context,1767,0.1467097403005722,0.5804565176381815,0.400679117147708,-0.011124361081916279,-0.02367477834370868,0.017543859649122806,0.3013154634555831
text_len,7-10,plus_10k_context,1767,0.13901015980812245,0.5504621769477458,0.4335031126202603,-0.018823941574366038,-0.0536691190341444,0.05036785512167513,0.3013154634555831
school_quality,clean_core,baseline,1764,0.14769225168885033,0.4895124716553288,0.5192743764172335,0.0,0.0,0.0,0.340755612244898
school_quality,clean_core,plus_5k_context,1764,0.1311803260357682,0.44501133786848074,0.5629251700680272,-0.016511925653082127,-0.04450113378684806,0.04365079365079372,0.340755612244898
school_quality,clean_core,plus_10k_context,1764,0.12907369620804995,0.4537981859410431,0.5572562358276644,-0.01861855548080038,-0.0357142857142857,0.03798185941043086,0.340755612244898
school_quality,hard_real,baseline,236,0.23074636051330968,0.5932203389830508,0.4067796610169492,0.0,0.0,0.0,0.6384304104019701
school_quality,hard_real,plus_5k_context,236,0.20884459231916858,0.614406779661017,0.3898305084745763,-0.021901768194141108,0.021186440677966156,-0.01694915254237289,0.6384304104019701
school_quality,hard_real,plus_10k_context,236,0.21259129288790307,0.6059322033898306,0.4025423728813559,-0.018155067625406612,0.012711864406779738,-0.0042372881355932646,0.6384304104019701
school_ruling,ruling_high_>22,baseline,47,0.26886187098953057,0.6170212765957447,0.3829787234042553,0.0,0.0,0.0,0.6661643617879887
school_ruling,ruling_high_>22,plus_5k_context,47,0.23483620398514013,0.6382978723404256,0.3617021276595745,-0.03402566700439044,0.021276595744680882,-0.021276595744680826,0.6661643617879887
school_ruling,ruling_high_>22,plus_10k_context,47,0.25994596420128335,0.6595744680851063,0.3404255319148936,-0.008915906788247219,0.04255319148936165,-0.04255319148936171,0.6661643617879887
school_ruling,ruling_low_<=10,baseline,1124,0.16281967340686201,0.5195729537366548,0.4902135231316726,0.0,0.0,0.0,0.3570867424664303
school_ruling,ruling_low_<=10,plus_5k_context,1124,0.14619595262388854,0.4804270462633452,0.5293594306049823,-0.016623720782973472,-0.039145907473309594,0.03914590747330965,0.3570867424664303
school_ruling,ruling_low_<=10,plus_10k_context,1124,0.1402491093327392,0.4919928825622776,0.5249110320284698,-0.022570564074122806,-0.02758007117437722,0.03469750889679718,0.3570867424664303
school_ruling,ruling_mid_10_22,baseline,829,0.14395591340705938,0.47104945717732205,0.53437876960193,0.0,0.0,0.0,0.3849062163070709
school_ruling,ruling_mid_10_22,plus_5k_context,829,0.1270541213243264,0.43425814234016885,0.5705669481302774,-0.016901792082732986,-0.0367913148371532,0.03618817852834744,0.3849062163070709
school_ruling,ruling_mid_10_22,plus_10k_context,829,0.13027754647175638,0.4336550060313631,0.5693606755126659,-0.013678366935302999,-0.03739445114595896,0.03498190591073591,0.3849062163070709
risk_quintile,q1,baseline,1113,0.12045096404298375,0.4894429469901168,0.46720575022461813,0.0,0.0,0.0,0.1963477167414244
risk_quintile,q1,plus_5k_context,1113,0.11998848263118124,0.4734201856843366,0.46810422282120395,-0.00046248141180250946,-0.01602276130578023,0.0008984725965858198,0.1963477167414244
risk_quintile,q1,plus_10k_context,1113,0.11519160976906341,0.46346211440551066,0.48607367475292,-0.005259354273920339,-0.02598083258460615,0.018867924528301883,0.1963477167414244
risk_quintile,q2,baseline,1114,0.11821447838009501,0.48228605625374027,0.46768402154398564,0.0,0.0,0.0,0.2600144598324586
