annotation_id,sample_id,dataset,level,category,image_path,annotator,audit_usable,exclusion_reason,ink_visible_ok,skeleton_follows_ink,missed_visible_stroke,spurious_stroke,endpoint_error,junction_error,loop_error,critical_topology_error,graph_quality_0_3,notes
iaa2_001,school_notebooks_test_0298730,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0298730.png,,,,,,,,,,,,,
iaa2_002,school_notebooks_test_0298655,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0298655.png,,,,,,,,,,,,,
iaa2_003,cyr_phrase_073128,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073128.png,,,,,,,,,,,,,
iaa2_004,cyr_phrase_072324,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072324.png,,,,,,,,,,,,,
iaa2_005,cyr_phrase_073670,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073670.png,,,,,,,,,,,,,
iaa2_006,cyr_word_072595,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_072595.png,,,,,,,,,,,,,
iaa2_007,hkr_words_022803,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_022803.png,,,,,,,,,,,,,
iaa2_008,cyr_word_072646,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_072646.png,,,,,,,,,,,,,
iaa2_009,school_notebooks_test_0298954,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0298954.png,,,,,,,,,,,,,
iaa2_010,hkr_words_023274,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_023274.png,,,,,,,,,,,,,
iaa2_011,school_notebooks_test_0300003,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0300003.png,,,,,,,,,,,,,
iaa2_012,cyr_phrase_073568,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073568.png,,,,,,,,,,,,,
iaa2_013,school_notebooks_test_0299498,school_notebooks_clean,word,pupil_comment,data/processed/school_notebooks/ocr_images/school_notebooks_test_0299498.png,,,,,,,,,,,,,
iaa2_014,hkr_words_060367,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_060367.png,,,,,,,,,,,,,
iaa2_015,cyr_word_072462,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_072462.png,,,,,,,,,,,,,
iaa2_016,hkr_words_016429,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_016429.png,,,,,,,,,,,,,
iaa2_017,school_notebooks_test_0300798,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0300798.png,,,,,,,,,,,,,
iaa2_018,hkr_words_006728,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_006728.png,,,,,,,,,,,,,
iaa2_019,school_notebooks_test_0311649,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0311649.png,,,,,,,,,,,,,
iaa2_020,hkr_words_034700,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_034700.png,,,,,,,,,,,,,
iaa2_021,hkr_words_064053,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_064053.png,,,,,,,,,,,,,
iaa2_022,hkr_words_041297,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_041297.png,,,,,,,,,,,,,
iaa2_023,hkr_words_060421,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_060421.png,,,,,,,,,,,,,
iaa2_024,cyr_word_073292,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_073292.png,,,,,,,,,,,,,
iaa2_025,hkr_words_024120,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_024120.png,,,,,,,,,,,,,
iaa2_026,school_notebooks_test_0321507,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0321507.png,,,,,,,,,,,,,
iaa2_027,school_notebooks_test_0299504,school_notebooks_clean,word,pupil_comment,data/processed/school_notebooks/ocr_images/school_notebooks_test_0299504.png,,,,,,,,,,,,,
iaa2_028,hkr_words_013737,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013737.png,,,,,,,,,,,,,
iaa2_029,hkr_words_011544,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_011544.png,,,,,,,,,,,,,
iaa2_030,hkr_words_024657,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_024657.png,,,,,,,,,,,,,
iaa2_031,hkr_words_013622,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013622.png,,,,,,,,,,,,,
iaa2_032,hkr_words_013759,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013759.png,,,,,,,,,,,,,
iaa2_033,cyr_phrase_073569,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073569.png,,,,,,,,,,,,,
iaa2_034,school_notebooks_test_0299138,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0299138.png,,,,,,,,,,,,,
iaa2_035,cyr_phrase_073629,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073629.png,,,,,,,,,,,,,
iaa2_036,school_notebooks_test_0315214,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0315214.png,,,,,,,,,,,,,
iaa2_037,cyr_phrase_073536,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073536.png,,,,,,,,,,,,,
iaa2_038,school_notebooks_test_0315528,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0315528.png,,,,,,,,,,,,,
iaa2_039,cyr_phrase_072454,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072454.png,,,,,,,,,,,,,
iaa2_040,hkr_words_032219,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_032219.png,,,,,,,,,,,,,
iaa2_041,hkr_words_029668,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_029668.png,,,,,,,,,,,,,
iaa2_042,cyr_phrase_073012,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073012.png,,,,,,,,,,,,,
iaa2_043,school_notebooks_test_0314929,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0314929.png,,,,,,,,,,,,,
iaa2_044,cyr_phrase_073063,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073063.png,,,,,,,,,,,,,
iaa2_045,hkr_words_013500,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013500.png,,,,,,,,,,,,,
iaa2_046,cyr_phrase_073515,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073515.png,,,,,,,,,,,,,
iaa2_047,school_notebooks_test_0309830,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0309830.png,,,,,,,,,,,,,
iaa2_048,cyr_phrase_073582,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073582.png,,,,,,,,,,,,,
iaa2_049,hkr_words_016269,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_016269.png,,,,,,,,,,,,,
iaa2_050,cyr_phrase_072333,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072333.png,,,,,,,,,,,,,
iaa2_051,hkr_words_016409,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_016409.png,,,,,,,,,,,,,
iaa2_052,hkr_words_001185,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_001185.png,,,,,,,,,,,,,
iaa2_053,school_notebooks_test_0309969,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0309969.png,,,,,,,,,,,,,
iaa2_054,hkr_words_013525,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_013525.png,,,,,,,,,,,,,
iaa2_055,school_notebooks_test_0317863,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0317863.png,,,,,,,,,,,,,
iaa2_056,hkr_words_001175,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_001175.png,,,,,,,,,,,,,
iaa2_057,cyr_phrase_072396,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072396.png,,,,,,,,,,,,,
iaa2_058,hkr_words_049607,hkr_words,phrase,,data/processed/hkr_words/ocr_images/hkr_words_049607.png,,,,,,,,,,,,,
iaa2_059,school_notebooks_test_0312771,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0312771.png,,,,,,,,,,,,,
iaa2_060,cyr_phrase_072759,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072759.png,,,,,,,,,,,,,
iaa2_061,hkr_words_064054,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_064054.png,,,,,,,,,,,,,
iaa2_062,hkr_words_049364,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_049364.png,,,,,,,,,,,,,
iaa2_063,cyr_phrase_072859,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072859.png,,,,,,,,,,,,,
iaa2_064,hkr_words_029726,hkr_words,word,,data/processed/hkr_words/ocr_images/hkr_words_029726.png,,,,,,,,,,,,,
iaa2_065,cyr_word_073289,cyrillic_handwriting,word,,data/processed/cyrillic_handwriting/ocr_images/cyr_word_073289.png,,,,,,,,,,,,,
iaa2_066,cyr_phrase_073408,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073408.png,,,,,,,,,,,,,
iaa2_067,cyr_phrase_073499,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_073499.png,,,,,,,,,,,,,
iaa2_068,cyr_phrase_072319,cyrillic_handwriting,phrase,,data/processed/cyrillic_handwriting/ocr_images/cyr_phrase_072319.png,,,,,,,,,,,,,
iaa2_069,school_notebooks_test_0303807,school_notebooks_clean,word,pupil_text,data/processed/school_notebooks/ocr_images/school_notebooks_test_0303807.png,,,,,,,,,,,,,
