audit_cell,dataset,fg_fraction,horizontal_line_fraction,horizontal_line_width_fraction,image_path,merge_context,naive_removal,notes,pred,ruling_line,sample_id,sample_validity,split,stratum,target,text,transcription
intersects_handwriting,school_notebooks_clean,0.1625,0.4371794871794872,0.7466666666666667,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0038994.png,no,damages_handwriting,,,intersects_handwriting,school_notebooks_train_0038994,valid_but_short,train,short_text_line_candidate,ч.,ч.,match
detector_false_positive,school_notebooks_clean,0.10401785714285715,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0302268.png,no,not_applicable,,,detector_false_positive,school_notebooks_test_0302268,valid,test,line_none,свободно,свободно,match
intersects_handwriting,school_notebooks_clean,0.15290948275862068,0.036645525017618044,0.3586206896551724,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0253130.png,no,partial_improvement,,,intersects_handwriting,school_notebooks_train_0253130,valid,train,line_low,вырвало,вырвало,match
detector_false_positive,school_notebooks_clean,0.060302734375,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0232284.png,no,not_applicable,,,detector_false_positive,school_notebooks_train_0232284,valid,train,line_none,"б.,","б.,",match
intersects_handwriting,school_notebooks_clean,0.13512073863636365,0.056504599211563734,0.48863636363636365,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0132801.png,no,partial_improvement,,,intersects_handwriting,school_notebooks_train_0132801,valid,train,line_low,быстро,быстро,match
intersects_handwriting,school_notebooks_clean,0.12422429078014184,0.272078501338091,0.6879432624113475,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0320848.png,no,improves,,,intersects_handwriting,school_notebooks_test_0320848,valid,test,short_text_line_candidate,н-,н-,match
binary_issue,school_notebooks_clean,0.23157793209876543,0.15077051228654728,0.9197530864197531,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0237410.png,no,not_applicable,binary issue,,none,school_notebooks_train_0237410,valid,train,line_medium,"речонки,","речонки,",match
binary_issue,school_notebooks_clean,0.33295641447368424,0.5128125964803952,0.9342105263157895,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0013361.png,no,not_applicable,binary issue,,none,school_notebooks_train_0013361,valid,train,line_high,шиворот,шиворот,match
intersects_handwriting,school_notebooks_clean,0.2074652777777778,0.22361692236169223,0.8950617283950617,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0247547.png,no,partial_improvement,,,intersects_handwriting,school_notebooks_train_0247547,valid,train,line_medium,ночью,ночью,match
intersects_handwriting,school_notebooks_clean,0.1372575431034483,0.1815505397448479,0.8017241379310345,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0279132.png,no,partial_improvement,,,intersects_handwriting,school_notebooks_val_0279132,valid,val,short_text_line_candidate,не,не,match
binary_issue,school_notebooks_clean,0.26953125,0.6132246376811594,0.828125,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178864.png,no,not_applicable,binary issue,,none,school_notebooks_train_0178864,valid,train,line_high,дела,дела,match
detector_false_positive,school_notebooks_clean,0.12312104430379747,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277011.png,no,not_applicable,,,detector_false_positive,school_notebooks_val_0277011,valid,val,short_text_no_line,ши,ши,match
binary_issue,school_notebooks_clean,0.23046875,0.07309322033898305,0.875,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0217439.png,no,not_applicable,binary issue,,none,school_notebooks_train_0217439,valid,train,short_text_no_line,н.,н.,match
detector_false_positive,school_notebooks_clean,0.09284607438016529,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0296898.png,no,not_applicable,,,detector_false_positive,school_notebooks_test_0296898,valid,test,short_text_no_line,"и,","и,",match
binary_issue,school_notebooks_clean,0.5364415322580646,0.9103636192802781,0.9741935483870968,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0011654.png,no,not_applicable,binary issue,,none,school_notebooks_train_0011654,valid,train,foreground_heavy,географические,географические,match
detector_false_positive,school_notebooks_clean,0.08943014705882353,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0064218.png,no,not_applicable,,,detector_false_positive,school_notebooks_train_0064218,valid,train,line_none,стащит.,стащит.,match
binary_issue,school_notebooks_clean,0.41432005494505497,0.1690841276419395,0.9120879120879121,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321374.png,no,not_applicable,binary issue,,none,school_notebooks_test_0321374,valid,test,foreground_heavy,очень,очень,match
detector_false_positive,school_notebooks_clean,0.14026162790697674,0.13730569948186527,0.47674418604651164,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0172314.png,no,damages_handwriting,,,detector_false_positive,school_notebooks_train_0172314,valid,train,short_text_line_candidate,гл,гл,match
detector_false_positive,school_notebooks_clean,0.1253662109375,0.0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0000197.png,no,not_applicable,,,detector_false_positive,school_notebooks_train_0000197,valid,train,line_none,мн.,мн.,match
binary_issue,school_notebooks_clean,0.5681322674418605,0.6362328110009594,0.9127906976744186,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0019370.png,no,not_applicable,binary issue,,none,school_notebooks_train_0019370,valid,train,foreground_heavy,class.,class.,match
