area,aspect_ratio,bbox_json,border_fg_ratio,category,component_count,contrast_range,dhash,exact_hash,fg_fraction,gray_p05,gray_p95,gray_std,height,horizontal_line_fraction,horizontal_line_rows,horizontal_line_width_fraction,image_path,level,line_id,max_row_occupancy,page_id,page_key,pixels_per_char,sample_id,split,suspicion_reasons,suspicion_score,suspicious,text,text_len,threshold_used,touches_bottom,touches_left,touches_right,touches_top,touching_sides,width,width_per_char,calibration_stratum
15232,3.71875,,0.0,pupil_text,2,169.0,1c3f5941657fc052,e9521422e10e16cfcd8529d2323df37ee1b745f1,0.1712841386554622,86.0,255.0,62.76526077733505,64,0.10463779225756994,2,0.6554621848739496,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0269864.png,word,,0.7857142857142857,,,1523.2,school_notebooks_val_0269864,val,long_horizontal_structure,2,1,заботилась,10,145,0,0,0,0,0,238,23.8,line_low
5696,1.390625,,0.0,pupil_comment,1,162.0,4812183f2f2b0320,adeaf8447cbc6325ce8d79b18fa4468c9a90aad0,0.24455758426966293,93.0,255.0,63.54618565806146,64,0.8571428571428571,25,0.7078651685393258,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0000524.png,word,,0.6853932584269663,,,2848.0,school_notebooks_train_0000524,train,very_short_text;probable_horizontal_ruling,4,1,п.,2,145,0,0,0,0,0,89,44.5,short_text_line_candidate
9472,2.3125,,0.0,pupil_text,1,155.0,69607d0f21604400,72e6815e6f5487c80556a430a9123ac2cfd3ba65,0.07569679054054054,100.0,255.0,51.125657609707304,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0174110.png,word,,0.35135135135135137,,,1184.0,school_notebooks_train_0174110,train,,0,0,"(время),",8,145,0,0,0,0,0,148,18.5,line_none
9408,2.296875,,0.0,pupil_text,1,181.0,0c4d113165756d03,510912f5c07bd52af04f197a086ede7522037883,0.1793154761904762,74.0,255.0,59.84754183062972,64,0.13930053349140487,3,0.8639455782312925,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0132793.png,word,,0.7891156462585034,,,2352.0,school_notebooks_train_0132793,train,probable_horizontal_ruling,3,1,быть,4,145,0,0,0,0,0,147,36.75,line_medium
7168,1.75,,0.0,pupil_text,3,211.0,0263234b592d2e68,641d1d36aa6565b26c0876ecdd173c3b27181b5e,0.17703683035714285,44.0,255.0,68.45661960559224,64,0.18833727344365642,3,0.875,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0242488.png,word,,0.875,,,3584.0,school_notebooks_train_0242488,train,very_short_text;probable_horizontal_ruling,4,1,ше,2,145,0,0,0,0,0,112,56.0,short_text_line_candidate
12160,2.96875,,0.0,pupil_text,1,177.0,082031392b5e6d92,7d458a72d561ab6790433ffac286d28d913f87db,0.10879934210526315,78.0,255.0,58.22143851920803,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0296874.png,word,,0.3631578947368421,,,6080.0,school_notebooks_test_0296874,test,very_short_text,1,0,на,2,145,0,0,0,0,0,190,95.0,short_text_no_line
5824,1.421875,,0.0,pupil_comment,2,150.0,817c3b33274b662d,09d0f6d77bc12e1670b47f072bbc16155d27b56c,0.10027472527472528,105.0,255.0,49.85544882148885,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0301218.png,word,,0.25274725274725274,,,2912.0,school_notebooks_test_0301218,test,very_short_text,1,0,гл,2,145,0,0,0,0,0,91,45.5,short_text_no_line
8192,2.0,,0.0,pupil_text,2,192.0,011c27272f290500,845b3a3a66cd6ff4035fad243aef9ec2cd3b5f7a,0.1253662109375,63.0,255.0,61.60986842181111,64,0.0,0,0.0,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0000197.png,word,,0.53125,,,2730.6666666666665,school_notebooks_train_0000197,train,,0,0,мн.,3,145,0,0,0,0,0,128,42.666666666666664,line_none
4672,1.140625,,0.0,pupil_text,1,180.0,606e6f654b0d4c49,71d80e3c88aeb9b9a8d577e93d0d2fc04dc36cc9,0.1819349315068493,74.0,254.0,64.26266524725808,64,0.1188235294117647,2,0.7123287671232876,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0305411.png,word,,0.7123287671232876,,,934.4,school_notebooks_test_0305411,test,long_horizontal_structure,2,1,видел,5,145,0,0,0,0,0,73,14.6,line_low
13440,3.28125,,0.0,pupil_text,1,171.0,84176d4d354b5e60,4dd7799aeff52605091a88b1ec838919cfcd7bff,0.21279761904761904,84.0,255.0,61.37119560507565,64,0.21783216783216783,4,0.819047619047619,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0013922.png,word,,0.8142857142857143,,,2688.0,school_notebooks_train_0013922,train,probable_horizontal_ruling,3,1,около,5,145,0,0,0,0,0,210,42.0,line_medium
