line_group_id,valid_line,correct_order,complete_enough,neighbor_noise,good_for_line_train,notes
school_full_line_test_7_6,1,1,1,0,1,
school_full_line_test_25_30,1,1,1,0,1,
school_full_line_test_87_21,1,1,1,0,1,
school_full_line_train_153_41,1,1,1,0,1,
school_full_line_train_278_10,1,1,1,0,1,
school_full_line_train_630_15,1,1,1,0,1,
school_full_line_train_673_12,1,1,1,0,1,
school_full_line_train_690_9,1,1,1,0,1,
school_full_line_train_738_212,1,1,1,0,1,
school_full_line_train_898_25,1,1,1,0,1,
school_full_line_train_908_34,1,1,1,0,1,
school_full_line_train_941_9,1,1,1,0,1,
school_full_line_train_1010_5,1,1,1,0,1,
school_full_line_train_1021_8,1,1,1,0,1,
school_full_line_train_1033_33,1,1,1,0,1,
school_full_line_train_1066_23,1,1,1,0,1,
school_full_line_train_1085_1,1,1,1,0,1,
school_full_line_train_1101_57,1,1,1,0,1,
school_full_line_train_1141_288,1,1,1,0,1,
school_full_line_train_1146_14,1,1,1,0,1,
school_full_line_train_1246_22,1,1,1,0,1,
school_full_line_train_1258_12,1,1,1,0,1,
school_full_line_train_1269_25,1,1,0,0,1,
school_full_line_train_1369_17,1,1,1,0,1,
school_full_line_train_1378_3,1,1,1,0,1,
school_full_line_train_1392_11,1,1,1,0,1,
school_full_line_train_1484_5,1,1,1,0,1,
school_full_line_val_13_109,1,1,1,0,1,
school_full_line_val_53_3,1,1,1,0,1,
school_full_line_val_62_3,1,1,1,0,1,
school_full_line_train_22_15,1,1,1,0,1,
school_full_line_train_59_14,1,1,1,0,1,
school_full_line_train_81_25,1,1,1,0,1,
school_full_line_train_99_9,1,1,0,0,1,
school_full_line_train_173_8,1,1,1,0,1,
school_full_line_train_207_47,1,1,1,0,1,
school_full_line_train_224_42,1,1,1,0,1,
school_full_line_train_252_6,1,1,1,0,1,
school_full_line_train_391_3,1,1,1,0,1,
school_full_line_train_417_13,1,1,1,0,1,
school_full_line_train_428_38,1,1,1,0,1,
school_full_line_train_507_11,1,1,0,0,1,
school_full_line_train_529_9,1,1,1,0,1,
school_full_line_train_579_8,1,1,1,0,1,
school_full_line_train_594_3,1,0,1,0,1,
school_full_line_train_615_8,1,1,1,0,1,
school_full_line_train_664_18,1,1,1,0,1,
school_full_line_train_751_14,1,1,1,0,1,
school_full_line_train_791_22,1,1,1,0,1,
school_full_line_train_1192_15,1,1,0,0,1,
school_full_line_train_1296_38,1,1,0,0,1,
school_full_line_train_1437_9,1,1,1,0,1,
school_full_line_train_1465_7,1,1,1,0,1,
school_full_line_train_1489_8,1,1,1,0,1,
school_full_line_val_24_6,1,1,1,0,1,
school_full_line_val_27_31,1,1,1,0,1,
school_full_line_val_28_25,1,1,1,0,1,
school_full_line_val_67_29,1,1,1,0,1,
school_full_line_val_71_28,1,1,1,0,1,
school_full_line_val_90_10,1,1,1,0,1,
school_full_line_test_83_9,1,1,1,0,1,
school_full_line_test_147_26,1,1,1,0,1,
school_full_line_train_51_5,1,1,1,0,1,
school_full_line_train_136_28,1,1,1,0,1,
school_full_line_train_158_9,1,1,1,0,1,
school_full_line_train_175_22,1,1,1,0,1,
school_full_line_train_260_19,1,1,1,0,1,
school_full_line_train_280_36,0,1,1,0,0,
school_full_line_train_356_2,1,1,1,0,1,
school_full_line_train_387_42,1,1,1,0,1,
school_full_line_train_432_18,1,1,1,0,1,
school_full_line_train_451_1,1,1,1,0,1,
school_full_line_train_481_4,1,1,1,0,1,
school_full_line_train_492_24,1,1,1,0,1,
school_full_line_train_512_30,1,1,1,0,1,
school_full_line_train_544_19,1,1,1,0,1,
school_full_line_train_561_487,1,1,1,0,1,
school_full_line_train_570_38,1,1,1,0,1,
school_full_line_train_695_13,1,1,1,0,1,
school_full_line_train_713_43,1,1,1,0,1,
school_full_line_train_779_15,1,1,1,0,1,
school_full_line_train_806_102,1,1,1,0,1,
school_full_line_train_847_19,1,1,1,0,1,
school_full_line_train_867_34,1,1,1,0,1,
school_full_line_train_885_2,1,1,1,0,1,
school_full_line_train_921_8,1,1,1,0,1,
school_full_line_train_1000_30,1,1,1,0,1,
school_full_line_train_1026_14,1,1,1,0,1,
school_full_line_train_1113_11,1,1,1,0,1,
school_full_line_train_1162_42,1,1,1,0,1,
school_full_line_train_1244_19,1,1,1,0,1,
school_full_line_train_1318_14,1,1,1,0,1,
school_full_line_train_1376_4,1,1,1,0,1,
school_full_line_train_1410_20,1,1,1,0,1,
school_full_line_train_1441_25,1,1,1,0,1,
school_full_line_train_1450_9,1,1,1,0,1,
school_full_line_train_1530_35,1,1,1,0,1,
school_full_line_train_1541_26,1,1,1,0,1,
school_full_line_val_23_30,1,1,1,0,1,
school_full_line_val_61_27,1,1,1,0,1,
school_full_line_test_75_28,1,1,1,0,1,
school_full_line_test_75_27,1,1,1,0,1,
school_full_line_test_87_14,1,1,1,0,1,
school_full_line_train_8_7,1,1,1,0,1,
school_full_line_train_40_2,1,1,1,0,1,
school_full_line_train_102_29,1,1,1,0,1,
school_full_line_train_178_42,1,1,1,1,1,
school_full_line_train_524_27,1,1,1,1,1,
school_full_line_train_544_4,1,1,1,0,1,
school_full_line_train_621_42,1,1,1,0,1,
school_full_line_train_650_36,1,1,1,0,1,
school_full_line_train_895_34,1,1,1,0,1,
school_full_line_train_965_19,1,1,1,0,1,
school_full_line_train_1042_13,1,1,1,0,1,
school_full_line_train_1047_39,1,1,1,0,1,
school_full_line_train_1099_42,1,1,1,0,1,
school_full_line_train_1120_5,1,1,1,0,1,
school_full_line_train_1163_13,1,1,1,0,1,
school_full_line_train_1165_41,1,1,1,0,1,
school_full_line_train_1230_1,1,1,1,0,1,
school_full_line_train_1325_16,1,1,1,0,1,
school_full_line_train_1327_40,1,1,1,1,1,
school_full_line_train_1329_28,1,1,1,0,1,
school_full_line_val_75_10,1,1,1,0,1,
school_full_line_val_77_11,1,1,1,0,1,
school_full_line_train_52_25,1,1,0,0,1,
school_full_line_train_96_10,1,1,1,0,1,
school_full_line_train_110_9,1,1,0,0,1,
school_full_line_train_651_22,0,1,1,1,1,
school_full_line_train_651_17,0,1,1,1,1,
school_full_line_train_683_26,1,1,0,0,1,
school_full_line_train_683_25,1,1,0,0,1,
school_full_line_train_683_21,1,1,0,0,1,
school_full_line_train_693_7,1,1,0,0,1,
school_full_line_train_729_7,1,1,0,0,1,
school_full_line_train_783_2,1,1,1,0,1,
school_full_line_train_794_6,1,1,0,0,1,
