sample_id,readable,correct_crop,good_for_htr,notes
school_full_line_train_668_20,1,1,1,
school_full_line_train_314_221,1,1,1,
school_full_line_train_839_356,1,1,1,
school_full_line_train_868_21,1,1,1,
school_full_line_train_1036_20,1,1,1,
school_full_line_train_289_14,1,1,1,
school_full_line_train_1101_42,1,1,1,
school_full_line_train_625_14,1,1,1,
school_full_line_train_1501_118,1,1,1,
school_full_line_train_327_9,1,1,1,
school_full_line_train_1233_10,1,1,1,
school_full_line_train_712_23,1,1,1,
school_full_line_train_205_45,1,1,1,
school_full_line_train_455_5,1,1,1,
school_full_line_train_537_33,1,1,1,
school_full_line_train_30_9,1,1,1,
school_full_line_train_637_26,1,1,1,
school_full_line_train_1052_17,1,0,1,
school_full_line_train_590_6,1,1,1,
school_full_line_train_1451_8,1,1,1,
school_full_line_train_419_1,1,1,1,
school_full_line_train_99_9,1,1,1,
school_full_line_train_268_1,1,1,1,
school_full_line_train_52_47,1,1,1,
school_full_line_train_531_345,1,1,1,
school_full_line_train_1137_7,1,1,1,
school_full_line_train_458_31,1,1,1,
school_full_line_train_1108_28,1,1,1,
school_full_line_train_1295_26,1,1,1,
school_full_line_train_1503_28,1,1,1,
school_full_line_train_245_39,1,1,1,
school_full_line_train_302_36,1,1,1,
school_full_line_train_285_42,1,1,1,
school_full_line_train_1544_43,1,1,1,
school_full_line_train_84_2,1,1,1,
school_full_line_train_1132_12,1,1,1,
school_full_line_train_1472_3,1,1,1,
school_full_line_train_1309_9,1,1,1,
school_full_line_train_1134_21,1,1,1,
school_full_line_train_818_952,1,0,1,
school_full_line_train_1210_49,1,1,1,
school_full_line_train_1150_22,1,0,1,
school_full_line_train_320_22,1,1,1,
school_full_line_train_1416_25,1,1,1,
school_full_line_train_532_26,1,0,1,
school_full_line_train_1496_6,1,0,1,
school_full_line_train_1110_15,1,0,1,
school_full_line_train_449_38,1,1,1,
school_full_line_train_349_18,1,0,1,
school_full_line_train_1517_43,1,1,1,
school_full_line_train_91_6,1,0,1,
school_full_line_train_1409_15,1,0,1,
school_full_line_train_1061_27,1,0,1,
school_full_line_train_1352_26,1,0,1,
school_full_line_train_1459_36,1,0,1,
school_full_line_train_1050_45,1,0,1,
school_full_line_train_978_13,1,0,1,
school_full_line_train_246_10,1,1,1,
school_full_line_train_710_20,1,0,1,
school_full_line_train_37_3,1,0,1,
school_full_line_train_1552_15,1,0,1,
school_full_line_train_578_26,1,0,1,
school_full_line_train_1234_2,1,1,1,
school_full_line_train_737_42,1,1,1,
school_full_line_train_181_21,1,1,1,
school_full_line_train_1387_11,1,0,1,
school_full_line_train_1_68,1,0,1,
school_full_line_train_831_7,1,0,1,
school_full_line_train_255_33,1,1,1,
school_full_line_train_1162_33,1,1,1,
school_full_line_train_620_22,1,1,1,
school_full_line_train_1210_6,1,0,1,
school_full_line_train_264_21,1,0,1,
school_full_line_train_598_46,1,0,1,
school_full_line_train_565_40,1,0,1,
school_full_line_train_1047_3,1,0,1,
school_full_line_train_1071_24,1,0,1,
school_full_line_train_1057_24,1,0,1,
school_full_line_train_1314_9,1,0,1,
school_full_line_train_686_4,1,1,1,
