area,aspect_ratio,bbox_json,border_fg_ratio,category,component_count,contrast_range,dhash,exact_hash,fg_fraction,gray_p05,gray_p95,gray_std,height,horizontal_line_fraction,horizontal_line_rows,horizontal_line_width_fraction,image_path,level,line_id,max_row_occupancy,page_id,page_key,pixels_per_char,sample_id,split,suspicion_reasons,suspicion_score,suspicious,text,text_len,threshold_used,touches_bottom,touches_left,touches_right,touches_top,touching_sides,width,width_per_char
6272,1.53125,,0.0,pupil_text,1,233.0,3b3f2b13372b2703,d6e9c2178b3e5797e18129102c3ceac8337ca5e9,0.6087372448979592,22.0,255.0,88.97819278690645,64,1.0,49,0.8571428571428571,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0224038.png,word,,0.8571428571428571,,,3136.0,school_notebooks_train_0224038,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,не,2,120,0,0,0,0,0,98,49.0
6720,1.640625,,0.0,pupil_text,1,224.0,00233b172b232300,a0e0587b646442e1d7281bbafe9ad63669264166,0.4921130952380952,31.0,255.0,93.30416487894641,64,0.999395222255821,42,0.8285714285714286,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0103815.png,word,,0.7904761904761904,,,3360.0,school_notebooks_train_0103815,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,ни,2,120,0,0,0,0,0,105,52.5
7296,1.78125,,0.0,pupil_comment,1,198.0,00252513170f2780,956a84cc2d8e65e6f672022723863b96e399e164,0.4609375,57.0,255.0,84.8232329671773,64,0.9988105857865002,38,0.8070175438596491,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178225.png,word,,0.8070175438596491,,,3648.0,school_notebooks_train_0178225,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,мн,2,120,0,0,0,0,0,114,57.0
7424,1.8125,,0.0,pupil_text,1,204.0,2323333315434300,2f6574ef62322524d390b75f736f89b0756fe913,0.5421605603448276,51.0,255.0,83.37484690313124,64,0.9972670807453416,45,0.8448275862068966,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0085196.png,word,,0.8448275862068966,,,3712.0,school_notebooks_train_0085196,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,то,2,120,0,0,0,0,0,116,58.0
6400,1.5625,,0.0,pupil_text,1,224.0,3f3f2d091b25333b,dbea131d41ecd88c1cd86d09db786ef381df6553,0.61765625,31.0,255.0,89.27445294816617,64,0.9962054136099165,51,0.9,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0207546.png,word,,0.86,,,3200.0,school_notebooks_train_0207546,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,на,2,120,0,0,0,0,0,100,50.0
4544,1.109375,,0.0,pupil_comment,1,213.0,010b0b1b1337634b,30f9c4fed69de52e04cad814b3e4df2b3d57d917,0.6080545774647887,42.0,255.0,85.69470532191171,64,0.9952949692363373,51,0.8309859154929577,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0300946.png,word,,0.7746478873239436,,,2272.0,school_notebooks_test_0300946,test,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,12,2,120,0,0,0,0,0,71,35.5
6080,1.484375,,0.0,pupil_text,1,206.0,86033b1b27230383,3fd360c1d982ef25c124a5be556e2e6e5e045afa,0.5476973684210527,48.0,254.0,82.2507034212863,64,0.9945945945945946,49,0.8736842105263158,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0027569.png,word,,0.8,,,3040.0,school_notebooks_train_0027569,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,тв,2,120,0,0,0,0,0,95,47.5
5824,1.421875,,0.0,pupil_text,1,203.0,0127332737030b14,28071f37f0ac23b97d26c920a9f2248c233b5444,0.5322802197802198,52.0,255.0,83.97870768675692,64,0.9945161290322581,46,0.8241758241758241,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0086688.png,word,,0.7692307692307693,,,2912.0,school_notebooks_train_0086688,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,не,2,120,0,0,0,0,0,91,45.5
4864,1.1875,,0.0,teacher_comment,1,212.0,498d9d0d1b1f0b03,4e709dd93828441dfd355ef5dda14adbf1318380,0.5783305921052632,42.0,254.0,83.97518052822593,64,0.9943121222893708,54,0.881578947368421,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0230294.png,word,,0.8026315789473685,,,2432.0,school_notebooks_train_0230294,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,2.,2,120,0,0,0,0,0,76,38.0
4352,1.0625,,0.0,pupil_text,1,200.0,3f3b2f2b2f271b61,f5935aa58707fe4666f6274c0aa433b4bcadb154,0.5682444852941176,54.0,254.0,80.44043956074054,64,0.9939344925192074,50,0.8235294117647058,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0019356.png,word,,0.8235294117647058,,,2176.0,school_notebooks_train_0019356,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,is,2,120,0,0,0,0,0,68,34.0
4416,1.078125,,0.0,pupil_text,1,234.0,0e173b1b35495303,7935aec53ae375ef5d96b74cb5119032964764bf,0.6012228260869565,21.0,255.0,84.96746192276062,64,0.9932203389830508,53,0.8840579710144928,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0236356.png,word,,0.8695652173913043,,,2208.0,school_notebooks_train_0236356,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,п.,2,120,0,0,0,0,0,69,34.5
5824,1.421875,,0.0,pupil_text,1,240.0,3e3f53136753172e,1bf1033be08a48503da3082edb02ad2d072d091b,0.5788118131868132,14.0,254.0,91.01489424361067,64,0.9925838030258084,47,0.8461538461538461,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0224186.png,word,,0.8461538461538461,,,2912.0,school_notebooks_train_0224186,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,но,2,120,0,0,0,0,0,91,45.5
5824,1.421875,,0.0,pupil_text,1,223.0,000e33132b2b2700,03778a5dc7cf28cf652102d6fdb2e076ff51b501,0.4921016483516483,32.0,255.0,92.00670830495541,64,0.9923237962316818,43,0.8021978021978022,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0179380.png,word,,0.8021978021978022,,,2912.0,school_notebooks_train_0179380,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,от,2,120,0,0,0,0,0,91,45.5
9984,2.4375,,0.0,pupil_text,1,211.0,9f27211725614303,5ed54cad6beb82c456c74f9de4a20b6f8a3932e2,0.6766826923076923,44.0,255.0,80.59883353501353,64,0.9920071047957372,52,0.9423076923076923,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0162723.png,word,,0.9230769230769231,,,4992.0,school_notebooks_train_0162723,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,мы,2,120,0,0,0,0,0,156,78.0
4992,1.21875,,0.0,pupil_comment,1,203.0,8d0e36272b253713,a6e06f604d485766fd77c62e6a72b8686c7042ab,0.4963942307692308,52.0,255.0,85.05933624565866,64,0.9915254237288136,51,0.8461538461538461,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0237351.png,word,,0.8205128205128205,,,2496.0,school_notebooks_train_0237351,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,п.,2,120,0,0,0,0,0,78,39.0
7168,1.75,,0.0,pupil_text,1,221.0,1f35331b57435776,6bef7a6580c891c8b37eb7f30adaff4cf28e655c,0.6326729910714286,34.0,255.0,88.12877508401887,64,0.9911797133406836,52,0.9107142857142857,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0161795.png,word,,0.8571428571428571,,,3584.0,school_notebooks_train_0161795,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,то,2,120,0,0,0,0,0,112,56.0
4672,1.140625,,0.0,pupil_text,1,213.45,2323311b53331bc3,a4678c84bd46b6a7c86e9241cf2fd33c20035d55,0.5556506849315068,40.55000000000001,254.0,84.92715617891555,64,0.9903697996918336,49,0.8356164383561644,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0027548.png,word,,0.7945205479452054,,,2336.0,school_notebooks_train_0027548,train,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,гл,2,120,0,0,0,0,0,73,36.5
7232,1.765625,,0.0,teacher_comment,1,205.0,012123273f334b33,19b6eada8c5d75b27bce7b038522f5b0d4dd3dff,0.5641592920353983,50.0,255.0,79.40404170888529,64,0.9901960784313726,48,0.8672566371681416,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0269754.png,word,,0.7964601769911505,,,3616.0,school_notebooks_val_0269754,val,very_short_text;foreground_heavy;probable_horizontal_ruling,7,1,ош,2,120,0,0,0,0,0,113,56.5
