sample_id,gold_stratum,foreground_usable,skeleton_matches_ink,line_residual,neighbor_noise,label_issue,topology_issue,notes
school_notebooks_test_0297315,clean_core_correct,,,,,,,
school_notebooks_test_0298266,clean_core_correct,,,,,,,
school_notebooks_test_0298316,clean_core_correct,,,,,,,
school_notebooks_test_0298413,clean_core_correct,,,,,,,
school_notebooks_test_0300297,clean_core_correct,,,,,,,
school_notebooks_test_0302035,clean_core_correct,,,,,,,
school_notebooks_test_0302858,clean_core_correct,,,,,,,
school_notebooks_test_0302883,clean_core_correct,,,,,,,
school_notebooks_test_0302945,clean_core_correct,,,,,,,
school_notebooks_test_0303491,clean_core_correct,,,,,,,
school_notebooks_test_0304572,clean_core_correct,,,,,,,
school_notebooks_test_0304621,clean_core_correct,,,,,,,
school_notebooks_test_0305299,clean_core_correct,,,,,,,
school_notebooks_test_0306307,clean_core_correct,,,,,,,
school_notebooks_test_0307579,clean_core_correct,,,,,,,
school_notebooks_test_0309703,clean_core_correct,,,,,,,
school_notebooks_test_0309969,clean_core_correct,,,,,,,
school_notebooks_test_0310288,clean_core_correct,,,,,,,
school_notebooks_test_0311227,clean_core_correct,,,,,,,
school_notebooks_test_0311498,clean_core_correct,,,,,,,
school_notebooks_test_0312091,clean_core_correct,,,,,,,
school_notebooks_test_0312110,clean_core_correct,,,,,,,
school_notebooks_test_0312356,clean_core_correct,,,,,,,
school_notebooks_test_0312535,clean_core_correct,,,,,,,
school_notebooks_test_0312537,clean_core_correct,,,,,,,
school_notebooks_test_0312613,clean_core_correct,,,,,,,
school_notebooks_test_0312929,clean_core_correct,,,,,,,
school_notebooks_test_0313251,clean_core_correct,,,,,,,
school_notebooks_test_0313780,clean_core_correct,,,,,,,
school_notebooks_test_0314092,clean_core_correct,,,,,,,
school_notebooks_test_0314440,clean_core_correct,,,,,,,
school_notebooks_test_0314603,clean_core_correct,,,,,,,
school_notebooks_test_0315102,clean_core_correct,,,,,,,
school_notebooks_test_0315658,clean_core_correct,,,,,,,
school_notebooks_test_0317071,clean_core_correct,,,,,,,
school_notebooks_test_0317074,clean_core_correct,,,,,,,
school_notebooks_test_0318072,clean_core_correct,,,,,,,
school_notebooks_test_0320710,clean_core_correct,,,,,,,
school_notebooks_test_0321382,clean_core_correct,,,,,,,
school_notebooks_test_0322562,clean_core_correct,,,,,,,
school_notebooks_test_0297227,hard_real_correct,,,,,,,
school_notebooks_test_0297481,hard_real_correct,,,,,,,
school_notebooks_test_0297530,hard_real_correct,,,,,,,
school_notebooks_test_0297576,hard_real_correct,,,,,,,
school_notebooks_test_0297597,hard_real_correct,,,,,,,
