model,condition,distortion,level,n,cer,wer,exact,clean_cer,absolute_cer_delta,relative_cer_degradation,robustness_advantage_vs_image_only,summary_path
image_only,blur_medium,blur,medium,5563,0.09651435436714957,0.37304811552519596,0.5858349811252921,0.08223581816287687,0.014278536204272704,0.1736291621248606,0.0,outputs/robustness_v1/image_only/blur_medium/summary.json
image_only,blur_mild,blur,mild,5563,0.08574899495125653,0.34443645515009863,0.615315477260471,0.08223581816287687,0.00351317678837966,0.042720761668856216,0.0,outputs/robustness_v1/image_only/blur_mild/summary.json
image_only,blur_strong,blur,strong,5563,0.12825327863423705,0.4429234825334053,0.5117742225417939,0.08223581816287687,0.04601746047136018,0.559579286731454,0.0,outputs/robustness_v1/image_only/blur_strong/summary.json
image_only,clean,clean,clean,5563,0.08223581816287687,0.3350230690874226,0.6244831925220204,0.08223581816287687,0.0,0.0,0.0,outputs/robustness_v1/image_only/clean/summary.json
image_only,low_contrast_medium,low_contrast,medium,5563,0.11454443032755254,0.4148960393073281,0.5426927916591767,0.08223581816287687,0.032308612164675676,0.3928776156964232,0.0,outputs/robustness_v1/image_only/low_contrast_medium/summary.json
image_only,low_contrast_mild,low_contrast,mild,5563,0.09654659081558581,0.37173886991431454,0.5860147402480675,0.08223581816287687,0.014310772652708942,0.17402116221869307,0.0,outputs/robustness_v1/image_only/low_contrast_mild/summary.json
image_only,low_contrast_strong,low_contrast,strong,5563,0.1369991250637244,0.47169393013362126,0.48894481394930794,0.08223581816287687,0.05476330690084752,0.6659301035028667,0.0,outputs/robustness_v1/image_only/low_contrast_strong/summary.json
image_only,noise_medium,noise,medium,5563,0.10421801484405335,0.3890856252621485,0.5700161783210498,0.08223581816287687,0.021982196681176486,0.2673068399178371,0.0,outputs/robustness_v1/image_only/noise_medium/summary.json
image_only,noise_mild,noise,mild,5563,0.08446723151847205,0.3410599796272992,0.619809455329858,0.08223581816287687,0.00223141335559518,0.02713432425729171,0.0,outputs/robustness_v1/image_only/noise_mild/summary.json
image_only,noise_strong,noise,strong,5563,0.1610765355263847,0.4809635088980769,0.478878303073881,0.08223581816287687,0.07884071736350784,0.9587150602351318,0.0,outputs/robustness_v1/image_only/noise_strong/summary.json
image_only,thick_strokes_medium,thick_strokes,medium,5563,0.08692513309819042,0.35037749415782843,0.6081251123494518,0.08223581816287687,0.004689314935313549,0.05702277961199166,0.0,outputs/robustness_v1/image_only/thick_strokes_medium/summary.json
image_only,thick_strokes_mild,thick_strokes,mild,5563,0.08692513309819042,0.35037749415782843,0.6081251123494518,0.08223581816287687,0.004689314935313549,0.05702277961199166,0.0,outputs/robustness_v1/image_only/thick_strokes_mild/summary.json
